"","ACC2SURV_ACCID","Quercheck","ANS2SURV_ID","ANS2SURV_DURATION","IMPACT","OCCURRENCE","X1PCT","Y1PCT","X2PCT","Y2PCT","PROZAHL","RPZ","GRAPHIO","GRAPHRPZ","QUES2SURV_ID","Q2SID_PREV","Q2SID_NEXT","QUES2SURV_QUESID","QUES_ID","QUES_TEXT","QUES_TYP","QUES2SURV_SURVID","SURV_NAME","QUES2SURV_SORT","QUES2SURV_METHOD","QUES2SURV_KBID","ANS2SURV_QUES2SURVID","ANS2SURV_ACC2SURVID","ANS2SURV_METHOD","MODIFIED","ACC2SURV_GROUPID","ACC2SURV_FIRSTSTEP_DATE","ACC2SURV_MAILFIRST","ACC2SURV_MAILSECOND","ACC2SURV_ROLE","ANS2SURV_ANSWERED","ANS2SURV_COMMENT","QUES_CAUSE","QUES_EFFECT","X1Pixel","X2Pixel","Y1Pixel","Y2Pixel","ClassicGrid","getlowx","gethighx","getlowy","gethighy","hitOcc","hitImp","QuestionGroup","uncertaintyIPixel","uncertaintyIPercent","uncertaintyOPixel","uncertaintyOPercent","uncertaintyAreaPixel","uncertaintyAreaPercent","uncertaintyPerimeterPixel","uncertaintyPerimeterPercent","uncertaintytotalPixel","uncertaintytotalPercent","middleX","middleY","middleIGRID","middleOGRID"
"2455",358,358,349589,NA,NA,NA,"","","","",NA,NA,-1,-1,1397,1381,1331,297,297,"Baufeldfreimachung für zukünftige Projekte","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",24,"classic","PF6",1397,559,"classic","06.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","HNO, 1. Med.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2457",358,358,349625,13,1,1,"9.25","73","15.25","97.5",4,1,-1,-1,1331,1397,1309,298,298,"Gefährdung bestehender Zertifizierungen (ISO, Onko-Zentrum, UEMS, EMAS)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",25,"classic","PF7",1331,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","",37,61,292,390,NA,1,1,1,2,TRUE,TRUE,NA,24,6,98,24.5,2352,1.47,244,15.25,122,15.25,49,341,1,1
"2459",358,358,349661,18,3,5,"77.75","6.5","93.75","28.5",60,15,-1,-1,1309,1331,1311,281,281,"zusätzlicher Betrieb leer stehender Gebäude","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",26,"classic","PF8",1309,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- kein Abriss","	- Mehrkosten",311,375,26,114,NA,4,5,4,5,TRUE,FALSE,NA,64,16,88,22,5632,3.52,304,19,152,19,343,70,5,5
"2461",358,358,349697,9,1,1,"39.75","34.75","51.75","55.75",4,1,-1,-1,1311,1309,1313,282,282,"keine Berücksichtigung der Veränderung der medizinischen Standards von der Planung bis zur Fertigstellung (ca. 6 Jahre)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",27,"classic","PF9",1311,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","medizinische Weiterentwicklung und Innovationen in der Zukunft können nicht berücksichtigt werden","",159,207,139,223,NA,3,3,3,4,FALSE,FALSE,NA,48,12,84,21,4032,2.52,264,16.5,132,16.5,183,181,3,3
"2463",358,358,349733,10,1,5,"34.75","26.75","51.25","61.25",20,5,-1,-1,1313,1311,1315,283,283,"keine ausreichende Berücksichtigung von Kapazitäten, Zeit, Kosten in der Planung der Übersiedelung während der Bauphase","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",28,"classic","PF10",1313,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","	- Projektkosten können nicht eingehalten werden / werden wesentlich überschritten <br>- verzögerte Inbetriebnahme",139,205,107,245,NA,2,3,2,4,FALSE,FALSE,NA,66,16.5,138,34.5,9108,5.6925,408,25.5,204,25.5,172,176,3,3
"2465",358,358,349769,16,5,5,"2.5","76","30.5","100",100,25,-1,-1,1315,1313,1317,284,284,"keine ausreichende Berücksichtigung der Schnittstellen zwischen Projekt und laufendem Betrieb (technisch)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",29,"classic","PF11",1315,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- keine ausreichenden technischen Gegebenheiten und Kapazitäten (Energie, Wasser, Klima, Gas, HT usw.)","	- Schnittstellenprobleme <br>- Mehrkosten",10,122,304,400,NA,1,2,1,2,FALSE,FALSE,NA,112,28,96,24,10752,6.72,416,26,208,26,66,352,1,1
"2467",358,358,349805,13,3,4,"4.25","68.25","37.25","93.75",48,12,-1,-1,1317,1315,1319,285,285,"negative Auswirkung und Beeinflussung des angrenzenden (laufenden) Betriebs","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",30,"classic","PF12",1317,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- Nähe zum Baufeld (Erschütterungen, Lärm, Staub) <br>- keine adäquate Baufeldabgrenzung","	- Einschränkgung im Bereich (z. B. Nukl.Med., Notfallaufnahmen, Zufahrt) <br>- klinische Abläufe <br>- Patient:innen- und Mitarbeiter:innensicherheit und -zufriedenheit <br>- Gerätesicherheit <br>- Hygiene <br>- Logistik <br>- Brandschutz uvm.",17,149,273,375,NA,1,2,1,2,FALSE,FALSE,NA,132,33,102,25.5,13464,8.415,468,29.25,234,29.25,83,324,2,1
"2469",358,358,349841,NA,NA,NA,"","","","",NA,NA,-1,-1,1319,1317,1383,286,286,"Neu-Bewilligungen werden notwendig","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",31,"classic","PF13",1319,559,"classic","07.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","	- Abrisse","hohe Anforderungen mach Schließungen von Gebäuden notwendig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2471",358,358,349877,NA,NA,NA,"","","","",NA,NA,-1,-1,1383,1319,1385,287,287,"Adaptierung/Modernisierung der räumlichen Strukturen an die Anforderungen des Versorgungsauftrags sowie an die Anforderungen der betroffenen Primär- und Sekundärversorgungsbereiche","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",32,"classic","PF14",1383,559,"classic","07.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","	- demographische Entwicklung <br>Allgemein: <br>- infrastrukturelle Veränderung <br>- personalstrukturelle Veränderung <br>- abrechnungstechnische Veränderung <br>- beschaffungsspezifische Veränderung <br>- besserer Patient:innenkomfort im stationären (Betten-)Bereich <br>- bessere Anbindung an das CMZ (kürzere Patiet:innenwege <br>- bessere Umsetzung von Schallschutzmaßnahmen (Audiometrie) <br>","	- Berücksichtigung zukünftiger Versorungsbedarfe  <br>- Erhöhung der Versorgungsqualität (Reduktion der Wartezeiten) <br>- Stärkung des medizinischen Standards der Fachbereiche <br>- Effektivere und effizientere Gestaltung der Arbeitsabläufe bzw. des klinischen Alltags (z. B. Einführung einer zentralen Leitstelle / elektronische Unterstützung, Einführung neuer Berufsgruppen z. B. MOA, OA) <br>- kürzere Wege <br>- Verbesserung der Patienten- und Mitarbeiter:innen-Zufriedenheit ==> Imageverbesserung <br>- fachübergreifende Vernetzung der Fächer des Kopfzentrums <br>- Beibehaltung bzw. Erhöhung der Felxibilität des med. Personals => Schonung der Personalressource <br>- kein Bedarf des Transports radioaktiver Tracer <br>- Verbesserung der interdisziplinären Zusammenarbeit der Fachbereiche <br>- Nutzung von Synergien durch die Zusammenführung einzelner bisher autarker Fachbereiche <br>- Verschiebung von Marktanteilen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2473",358,358,349913,NA,NA,NA,"","","","",NA,NA,-1,-1,1385,1383,1321,288,288,"nachhaltige Interimslösung der Räumlichkeiten zur Nachnutzung als Ausweichstation","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",33,"classic","PF15",1385,559,"classic","07.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2475",358,358,349949,18,3,3,"1.75","76.75","29","91.5",36,9,-1,-1,1321,1385,1387,289,289,"keine Kompatibilität der Projektziele mit dem Versorgungsauftrag  (z. B. Betriebsziele, politische Ziele, Umsetzung ÖSG-RSG usw.)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",34,"classic","PU1",1321,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- Vorgaben des RSG NEU (2025) sehen wesentliche Änderungen zu dem im Projektumfang definierten Struktur- und Leistungsspektrum (Basis RSG 2020) vor (RSG 2030 könnte die Projektgrundlagen nochmals verändern ==> Stichwort: Auslagerung in die extramurale Versorgung) <br>- Unkenntnis über die Möglichkeit der Einsetzbarkeit des Faches PMR <br>- Projektnutzen ist zu wenig klar bestimmt => und vom Nutzer daher nicht erkennbar <br>","	- Nicht-Erfüllung des gesetzlich definierten Versorgungsauftrags <br>- keine Projektumsetzung",7,116,307,366,NA,1,2,1,2,FALSE,FALSE,NA,109,27.25,59,14.75,6431,4.019375,336,21,168,21,61.5,336.5,1,1
"2477",358,358,349985,41,3,3,"13.75","46.5","29.5","70.5",36,9,-1,-1,1387,1321,1389,290,290,"Einhaltung sicherheits- und gesundheitspolitischer Auflagen und Einschränkungen (ÖSG-RSG)","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",35,"classic","PU2",1387,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","",55,118,186,282,NA,1,2,2,3,TRUE,FALSE,NA,63,15.75,96,24,6048,3.78,318,19.875,159,19.875,86.5,234,2,3
"2479",358,358,350021,16,5,5,"81.75","77","98.75","99",100,25,-1,-1,1389,1387,1391,291,291,"Verbesserung der Positionierung am Arbeitsmarkt","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",36,"classic","PU3",1389,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","z. B. moderne Strukturen und Arbeitsabläufe","	- gesteigertes Interesse bei DGKP, PA, RT, BMA",327,395,308,396,NA,5,5,1,2,FALSE,TRUE,NA,68,17,88,22,5984,3.74,312,19.5,156,19.5,361,352,5,1
"2481",358,358,350057,6,4,5,"72.75","90.25","99.25","99.5",80,20,-1,-1,1391,1389,1393,292,292,"Verbesserung der interdisziplinären Zusammenarbeit","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",37,"classic","PU4",1391,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","räumliche und organisatorische Zusammenführung","Verbesserung der Versorgungsqualität",291,397,361,398,NA,4,5,1,1,FALSE,TRUE,NA,106,26.5,37,9.25,3922,2.45125,286,17.875,143,17.875,344,379.5,5,1
"2483",358,358,350093,20,5,4,"68.25","6.5","97","25.5",80,20,-1,-1,1393,1391,1395,293,293,"Integration der Pädaudiometrie in die HNO bzw. Kopfzentrum","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",38,"classic","PU5",1393,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","	- Verbesserung der intramuralen Versorgung für Kinder;  <br>- zeitökonomisches Arbeiten möglich (dzt. Lange Wartezeiten für den Pat./weite Wege im Klinikum, direkte Kommunikation zw. Arzt und Logopädie derzeit nur eingeschränkt gegeben)",273,388,26,102,NA,4,5,4,5,TRUE,TRUE,NA,115,28.75,76,19,8740,5.4625,382,23.875,191,23.875,330.5,64,5,5
"2485",358,358,350129,NA,NA,NA,"","","","",NA,NA,-1,-1,1395,1393,1323,294,294,"Neubau","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",39,"classic","PU6",1395,559,"classic","07.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","","sprunghafte Strukturqualitätssteigerung, Minimierung der Betriebsausfälle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2487",358,358,350165,NA,NA,NA,"","","","",NA,NA,-1,-1,1323,1395,1325,295,295,"Projektfortschritt bzw. -laufzeiten können nicht eingehalten werden","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",40,"classic","PU7",1323,559,"classic","07.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","	- Abwicklung der behördlichen Verfahren nicht terminkonform <br>- keine Berücksichtigung ausreichender Vorlaufzeiten für Behördenverfahren (eingeschränkte Personalkapazitäten)/notwendige Gutachten in der Projektterminplanung  <br>- zweistufige Genehmigungsverfahren für Tätigkeiten mit offenen radioaktiven Stoffen (lt. Strahlenschutzgesetz) <br>- sonstige behördliche Aktivitäten <br>- politische Einflussfaktoren => neue Priorisierung von Projekten <br>- Divergierende Ziele unterschiedlicher Vorhabenspartner (z. B. Nutzer, Anrainer, Bauherr) <br>- Unkenntnis des gesamten Projektkontext => keine Kenntnis und systematische Steuerung aller Chancen und Risiken/Stärken und Schwächen für die Projektplanung und -umsetzung  <br>- etwaige Auflagen aus diversen notwendigen Gutachten bzw. von Behörden müssen umgesetzt werden","	- zusätzliche Kosten   <br>- Verzögerung der Inbetriebnahme <br>- Versorgungsengpässe bei Betriebsausfällen in den Altstrukturen <br>- zeitliche Verzögerung <br>- Verlängerung Risiko HNO (TOP Unternehmensrisiko)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2489",358,358,350201,NA,NA,NA,"","","","",NA,NA,-1,-1,1325,1323,1327,296,296,"keine Synchronisierung mit dem Masterplan 2030","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",41,"classic","PU8",1325,559,"classic","07.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","	- Masterplan ist nicht fertig gestellt (Genehmigung durch AR notwendig?) <br>- Projektpriorisierung  ist nicht eindeutig ==> keine ausreichende Abstimmung der Planungen des Projekts Kopfzentrum mit anderen leistungsbedingten Einflussbereichen wie z. B.  onkologisches Zentrum, ELKI (akute und ambulante Behandlung von Kindern)","'- Standortstrategie nicht einhaltbar <br>- Terminkollisionen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2491",358,358,350237,12,5,1,"76.25","4.25","97.5","28.75",20,5,-1,-1,1327,1325,1329,320,320,"keine Genehmigung ausreichender finanzieller Mittel","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",42,"classic","PU9",1327,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- gedeckeltes Landesbudget <br>- Projektunschärfe im Budget nicht abdeckbar <br>- im Laufe des Projekts entstehende Mehrkosten (siehe auch diverse angeführte Risiken)","	- keine bzw. nur eingeschränkte Umsetzung des Projekts <br>- Mehrkosten",305,390,17,115,NA,4,5,4,5,FALSE,TRUE,NA,85,21.25,98,24.5,8330,5.20625,366,22.875,183,22.875,347.5,66,5,5
"2493",358,358,350273,NA,NA,NA,"","","","",NA,NA,-1,-1,1329,1327,1333,321,321,"Terminkollisionen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",43,"classic","PU10",1329,559,"classic","07.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","	- mehrere gleichzeitig laufende Projekte (AUVA CHO) <br>- gleiches Baufeld mit etwaigen Projekt AUVA CHO","	- Projektverzögerung <br>- gleichzeitiger Zugriff auf Firmen <br>- Einschränkung der Zufahrtbereiche",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2495",358,358,350309,39,4,1,"5.25","80.5","33.5","94.5",16,4,-1,-1,1333,1329,1335,299,299,"keine Identifikation der Schlüsselpositionen mit dem Projekt und den damit in Verbindung stehenden Zielen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",44,"classic","PV1",1333,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- Projektnutzen ist zu wenig klar bestimmt => und vom Nutzer daher nicht erkennbar <br>- RSG Vorgaben nicht bekannt","Projektverzögerung",21,134,322,378,NA,1,2,1,1,TRUE,FALSE,NA,113,28.25,56,14,6328,3.955,338,21.125,169,21.125,77.5,350,1,1
"2497",358,358,350345,19,4,4,"44","28.25","66.75","53",64,16,-1,-1,1335,1333,1337,300,300,"Planungsfehler (z. B. Vorhabensbudget, Investitionsprogramm, Betriebsbudget, Folgekosten usw.)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",45,"classic","PV2",1335,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- BO und Raum- und Funktionsplan nicht detailliert <br>- keine eindeutige Projektabgrenzung zu anderen Projekten bzw. Instandhaltung","	- Mehrkosten <br>- Verzögerung <br>",176,267,113,212,NA,3,4,3,4,TRUE,TRUE,NA,91,22.75,99,24.75,9009,5.630625,380,23.75,190,23.75,221.5,162.5,3,3
"2499",358,358,350381,9,4,2,"39.5","32.5","100","58.5",32,8,-1,-1,1337,1335,1339,301,301,"keine Kompatibilität der Projektziele mit den Abteilungszielen/Nutzer","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",46,"classic","PV3",1337,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- Auffassungsunterschiede/Interessen zw. Projektbeteiligten KM und Klinikum aufgrund unterschiedlicher Prioritäten <br>- keine Akzeptanz der Projektvorgaben durch die Nutzer","Behinderung der Projektabwicklung",158,400,130,234,NA,2,5,3,4,FALSE,TRUE,NA,242,60.5,104,26,25168,15.73,692,43.25,346,43.25,279,182,4,3
"2501",358,358,350417,12,3,1,"73.5","21.25","98.5","61.25",12,3,-1,-1,1339,1337,1341,302,302,"keine ausreichend klare Formulierung der Projektziele","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",47,"classic","PV4",1339,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","	- Gefährdung den Projekterfolgs",294,394,85,245,NA,4,5,2,4,FALSE,FALSE,NA,100,25,160,40,16000,10,520,32.5,260,32.5,344,165,5,3
"2503",358,358,350453,21,5,1,"69.5","0.75","99","23.25",20,5,-1,-1,1341,1339,1343,303,303,"keine ausreichende Berücksichtigung der Nutzeranforderungen in der Planung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",48,"classic","PV5",1341,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- mangelhafte (Architekten-)Planung (unzureichendes Raumangebot)  <br> <br>- siehe beispielhaft nachfolgende Punkte: <br> Nuklearmedizin: Übersiedelung bzw. Neubau folgender Strukturen: <br>- Aufnahme Nuklearmedizin <br>- Aufnahme Schilddrüse/Spezialambulanzen <br>HNO <br>- Berücksichtigung der hohen Frequenzen (Haupteingang) <br>- Lenken der Patient:innenströme im ambulanten Bereich <br> Physikalische Medizin: <br>- Therapiebecken für Wasseranwendungen <br>- Raum Medizinische Trainingstherapie <br> Hygiene <br>- ausreichender Lagerräume und -flächen => Just in Time-Lieferungen z. B. von patientenbezogenen OP-Tassen  <br>- ausreichend Bettenlagerflächen (erhöhtes Patient:innenaufkommen in der Holdingarea OP-Bereich) <br> Technik <br>- hohe Zwischendecken (zukünftige Nachrüstungen) / Zwischendeckenelemente <br>- Aufzüge (inkl. Schachtentlüftung) redundant ausführen","	- keine Anpassung der Räumlichkeiten an die Untersuchungsanforderungen (z. B. Pädaudiometrie muss vollständig verdunkelt werden können, Waschbecken in allen Räumlichkeiten) <br>- keine korrekte Durchführung von Messungen <br>- Gefährdung des Untersuchungserfolgs  <br>- Gefährdung der Patient:innensicherheit <br>- Fülle an Anforderungen können nicht zeitnah erfüllt werden <br>- Ressourcenmehrbedarf",278,396,3,93,NA,4,5,4,5,FALSE,TRUE,NA,118,29.5,90,22.5,10620,6.6375,416,26,208,26,337,48,5,5
"2505",358,358,350489,13,4,4,"74.75","1.75","100","55.75",64,16,-1,-1,1343,1341,1345,304,304,"Baufeld in zentralem Krankenhausumfeld","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",49,"classic","PV6",1343,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","(Not-)Anlieferung von Patient:innen, Logistiktransporte, Besucher","chaotische Verkehrssituation",299,400,7,223,NA,4,5,3,5,TRUE,TRUE,NA,101,25.25,216,54,21816,13.635,634,39.625,317,39.625,349.5,115,5,4
"2507",358,358,350525,NA,NA,NA,"","","","",NA,NA,-1,-1,1345,1343,1347,305,305,"keine Berücksichtigung etwaiger gesetzlicher Vorgaben des Strahlenschutz im Rahmen von Bautätigkeiten","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",50,"classic","RA1",1345,559,"classic","07.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","	- Gefahrenstoffe","	- möglicherweise Abstände und Absperrungen notwendig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2509",358,358,350561,12,3,3,"59","8.25","92","30.5",36,9,-1,-1,1347,1345,1349,306,306,"negative Stellungnahme durch den L-RH oder sonstiger Behörden","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",51,"classic","RA2",1347,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","keine Vorabklärung mit Behörden (z. B. L-RH, Sanitätsbewilligungsbehörde usw.)","	- keine Realisierungsgenehmigung <br>- zeitliche Verzögerung <br>- Mehrkosten <br>- Verlängerung Risiko HNO",236,368,33,122,NA,3,5,4,5,FALSE,TRUE,NA,132,33,89,22.25,11748,7.3425,442,27.625,221,27.625,302,77.5,4,5
"2511",358,358,350597,18,3,3,"73.5","5","96.75","36.25",36,9,-1,-1,1349,1347,1351,307,307,"Verzögerungen in diversen Vergabeverfahren (Einsprüche) vor allem bei Schlüsselgewerken","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",52,"classic","RA3",1349,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- unklare Ausschreibungsunterlagen <br>- Vorgaben im Bezug auf den Beschaffungsprozess /Ausschreibung und Vergaben werden nicht eingehalten <br>- Willkür der Einsprucherhebenden","	- zeitliche Verzögerungen <br>- Mehrkosten",294,387,20,145,NA,4,5,4,5,FALSE,FALSE,NA,93,23.25,125,31.25,11625,7.265625,436,27.25,218,27.25,340.5,82.5,5,4
"2513",358,358,350633,13,4,1,"70.25","5.75","99","29.5",16,4,-1,-1,1351,1349,1399,308,308,"keine ausreichende Zugangsregelung der Nuklearmedizin zum Zeitpunkt des Abbruch des Nordtraktes von Gebäude 161 und entsprechende Information aller Beteiligten darüber","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",53,"classic","SI1",1351,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","",281,396,23,118,NA,4,5,4,5,FALSE,TRUE,NA,115,28.75,95,23.75,10925,6.828125,420,26.25,210,26.25,338.5,70.5,5,5
"2515",358,358,350669,14,5,4,"8","7.5","96.75","96.75",80,20,-1,-1,1399,1351,1353,309,309,"Steigerung der Sicherheit von Patient:innen, Mitarbeiter:innen und Dritter","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",54,"classic","SI2",1399,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","",32,387,30,387,NA,1,5,1,5,TRUE,TRUE,NA,355,88.75,357,89.25,126735,79.209375,1424,89,712,89,209.5,208.5,3,3
"2517",358,358,350705,NA,NA,NA,"","","","",NA,NA,-1,-1,1353,1399,1355,310,310,"keine ausreichende Baugrubenabsicherung zum angrenzenden Betrieb","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",55,"classic","SI3",1353,559,"classic","07.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519",358,358,350741,NA,NA,NA,"","","","",NA,NA,-1,-1,1355,1353,1357,311,311,"Ausfall kritischer Infrastruktur","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",56,"classic","SI4",1355,559,"classic","07.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","Anschluss- und Baumaßnahmen (Kälte, Wärme, Abwasser, Wasser usw.)","Versorgungsauftrag kann nicht erfüllt werden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521",358,358,350777,NA,NA,NA,"","","","",NA,NA,-1,-1,1357,1355,1359,312,312,"Kollektorgang nicht nutzbar","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",57,"classic","SI5",1357,559,"classic","07.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,-1,"","Bautätigkeiten","Einschränkungen in der Versorgung ( Logistik)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2523",358,358,350813,14,4,4,"45.25","7.5","74.5","32.5",64,16,-1,-1,1359,1357,1361,313,313,"Beeinträchtigung des Zugangs/Zufahrt der Notaufnahme","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",58,"classic","SI6",1359,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","Intensive Verschränkung des Baustellenverkehrs mit dem laufenden Betrieb im hochfrequentierten Bereich der Notfallaufnahme","Beeinflussung der (Rettungs-)Notfahrten",181,298,30,130,NA,3,4,4,5,TRUE,TRUE,NA,117,29.25,100,25,11700,7.3125,434,27.125,217,27.125,239.5,80,4,4
"2525",358,358,350849,14,3,3,"37.5","8.75","90.25","31",36,9,-1,-1,1361,1359,1363,314,314,"Zeitgerechte Umsetzung/Überwachung vorhabensbezogener sicherheitstechnischer Vorgaben","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",59,"classic","SI7",1361,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","",150,361,35,124,NA,2,5,4,5,FALSE,TRUE,NA,211,52.75,89,22.25,18779,11.736875,600,37.5,300,37.5,255.5,79.5,4,4
