"","ACC2SURV_ACCID","Quercheck","ANS2SURV_ID","ANS2SURV_DURATION","IMPACT","OCCURRENCE","X1PCT","Y1PCT","X2PCT","Y2PCT","PROZAHL","RPZ","GRAPHIO","GRAPHRPZ","QUES2SURV_ID","Q2SID_PREV","Q2SID_NEXT","QUES2SURV_QUESID","QUES_ID","QUES_TEXT","QUES_TYP","QUES2SURV_SURVID","SURV_NAME","QUES2SURV_SORT","QUES2SURV_METHOD","QUES2SURV_KBID","ANS2SURV_QUES2SURVID","ANS2SURV_ACC2SURVID","ANS2SURV_METHOD","MODIFIED","ACC2SURV_GROUPID","ACC2SURV_FIRSTSTEP_DATE","ACC2SURV_MAILFIRST","ACC2SURV_MAILSECOND","ACC2SURV_ROLE","ANS2SURV_ANSWERED","ANS2SURV_COMMENT","QUES_CAUSE","QUES_EFFECT","X1Pixel","X2Pixel","Y1Pixel","Y2Pixel","ClassicGrid","getlowx","gethighx","getlowy","gethighy","hitOcc","hitImp","QuestionGroup","uncertaintyIPixel","uncertaintyOPixel","uncertaintyAreaPixel","uncertaintyPerimeterPixel","uncertaintytotalPixel","middleX","middleY","middleIGRID","middleOGRID","middleGRID"
"3579",338,338,580871,15,4,4,"72","43.5","94","60",64,16,-1,-1,1265,1263,1267,342,342,"Statik der  zweiten  Med für Umbauten des Bestandes nicht geeignet","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",70,"classic","TE9",1265,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Zustand Altbestand","erhebliche Mehrkosten für Umbau und Abriss",288,376,160,226,"Grid44",4,5,3,3,FALSE,TRUE,NA,88,66,5808,308,154,332,193,5,3,"Grid35"
"3581",338,338,580921,13,4,4,"55.25","42.75","75.25","57.75",64,16,-1,-1,1267,1265,1373,343,343,"Lärm- und Staubbelästigung während der Bauphase der Patient:innen und Mitarbeiter:innen in den umliegenden Gebäude(-teile) ==> Nähe Notfallaufnahme ==> zentraler Verkehrsknotenpunkt","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",71,"classic","UÖ1",1267,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Unklare Definition der Anforderungen in den Ausschreibungsunterlagen <br>- Mangelhafte Kommunikation <br>- Mangelhafte Kontrollen <br>- Mangelndes Bewusstsein der Ausführenden <br>im Rahmen der Bautätigkeiten","	- Patient:innen und Mitarbeiter:innenunzufriedenheit <br>- Beeinträchtigung des laufenden Betriebs im Allgemeinen <br>- Höhere psychische Belastung der MA und Patient:innen <br> <br>",221,301,169,229,"Grid44",3,4,3,3,FALSE,TRUE,NA,80,60,4800,280,140,261,199,4,3,"Grid34"
"3583",338,338,580971,35,4,4,"77.5","40.5","95","55.75",64,16,-1,-1,1373,1267,1235,325,325,"Integration ressourcenschonender Energienutzungsmodelle in die Projektplanung (Alternativenergie, Passivhausstandard, Grundwasserkühlung/-energiespeicherung, Photovoltaik (z. B. in Fassade integrieren oder am Dach), Erdwärme, Sonnenschutz - starke Lamellen, Fassadenfarbe, Niedertemperatur Heiz-Kühlsystem (Baukernaktivierung,  usw.)","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",72,"classic","UÖ2",1373,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","	- erhöhter Baukosteneinsatz <br>- zusätzliche Beschattung",310,380,177,238,"Grid44",4,5,3,3,FALSE,TRUE,NA,70,61,4270,262,131,345,207.5,5,3,"Grid35"
"3585",338,338,581021,13,4,4,"51.75","35.75","70.5","48.75",64,16,-1,-1,1235,1373,1237,326,326,"Erschütterungen während der Bauphase","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",73,"classic","UÖ3",1235,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","Nähe Baufeld","	- Patient:innen und Mitarbeiter:innen Unzufriedenheit <br>- Schädigung etwaiger hochsensibler medizinsicher Geräte (z. B. SPECT Kamera, PET/CT) <br>- Beeinträchtigung bei Operationen <br>- Schädigung angrenzender Gebäude(-teile) <br>- Reduzierte Sicherheit der Patienten:innen und Mitarbeiter:innen <br>- Beeinträchtigung des laufenden Betriebs im Allgemeinen <br>- höhere psychische Belastung der MA und Patient:innen",207,282,205,257,"Grid44",3,4,4,3,FALSE,TRUE,NA,75,52,3900,254,127,244.5,231,4,3,"Grid34"
"3587",338,338,581071,6,4,3,"52.5","60.5","66.25","75.75",48,12,-1,-1,1237,1235,1239,327,327,"unbekannte Einbauten im Boden","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",74,"classic","UÖ4",1237,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- keine vorliegenden Unterlagen","	- Mehrkosten",210,265,97,158,"Grid34",3,4,2,2,FALSE,TRUE,NA,55,61,3355,232,116,237.5,127.5,3,2,"Grid23"
"3589",338,338,581121,NA,NA,NA,"","","","",NA,NA,-1,-1,1239,1237,1241,328,328,"keine Kenntnis über das Ausmaß des kontaminierten Abbruchmaterials (Asbest, gefährliche Stoffe) und kontaminierte Einbauten im Baugrund","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",75,"classic","UÖ5",1239,562,"classic","06.09.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,-1,"","alte Baureste (Sondermüll) z. B. Abriss Schilddrüsenambulanz","	- Mehrkosten <br>- Baustelleneinschränkungen <br>- (erhöhte) Umweltauflagen werden nicht eingehalten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3591",338,338,581171,13,4,3,"56.75","42","72.75","58.5",48,12,-1,-1,1241,1239,1243,329,329,"Verunreinigung angrenzender Gebäude","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",76,"classic","UÖ6",1241,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","Abklingbecken der Nuklearmedizin","	- Mehrkosten <br>- Projektverzögerungen <br>- Image <br>- Verunreinigung des Grundwassers",227,291,166,232,"Grid34",3,4,3,3,TRUE,TRUE,NA,64,66,4224,260,130,259,199,4,3,"Grid34"
"3593",338,338,581221,13,5,3,"85.5","75","100","83.25",60,15,-1,-1,1243,1241,1245,330,330,"Verunreinigung des Grundwasser","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",77,"classic","UÖ7",1243,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- bauliche Tätigkeiten","Verlust des Trinkwasser",342,400,67,100,"Grid35",5,5,2,1,FALSE,TRUE,NA,58,33,1914,182,91,371,83.5,5,2,"Grid25"
"3595",338,338,581271,17,5,2,"85.5","77","98.25","89.5",40,10,-1,-1,1245,1243,1375,331,331,"unkontrollierter Wassereintritt","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",78,"classic","UÖ8",1245,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Hochwasserschutz wurde nicht ausreichend berücksichtigt <br>- mangelnde Abdeckarbeiten im Zuge der Bautätigkeiten","	- Personenschaden <br>- Sachschaden  <br>- Bauverzögerung <br>- Sach- bzw. Personenschaden",342,393,42,92,"Grid25",5,5,2,1,FALSE,TRUE,NA,51,50,2550,202,101,367.5,67,5,1,"Grid15"
"3597",338,338,581321,NA,NA,NA,"","","","",NA,NA,-1,-1,1375,1245,1247,332,332,"Förderungen lukrieren","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",79,"classic","UÖ9",1375,562,"classic","06.09.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,-1,"","","Budgetschonung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3599",338,338,581371,10,5,2,"82.5","66.5","99.5","81",40,10,-1,-1,1247,1375,1249,333,333,"Beschaffenheit des Baugrunds nicht ausreichend bekannt","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",80,"classic","UV1",1247,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Materialaufbau <br>- Grundwasser <br>- Bestandseinbauten <br>- Kriegsdelikte","	- Mehrkosten <br>- zeitliche Verzögerung <br>- Gefährdung von Personen und Strukturen",330,398,76,134,"Grid25",5,5,2,1,FALSE,TRUE,NA,68,58,3944,252,126,364,105,5,2,"Grid25"
"3601",338,338,581421,18,4,3,"70.75","78","88.5","90",48,12,-1,-1,1249,1247,1251,334,334,"Altbestand nicht ausreichend bekannt","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",81,"classic","UV2",1249,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Gebäude am Baufeld tlw. in Betrieb <br>- Bestandsunterlagen zur Statik liegen nicht vor","	- Mehrkosten <br>- zeitliche Verzögerung Umsetzungsprojekt <br>- Gefährdung von Personen und Strukturen",283,354,40,88,"Grid34",4,5,2,1,FALSE,TRUE,NA,71,48,3408,238,119,318.5,64,4,1,"Grid14"
"3603",338,338,581471,12,4,4,"45","30.75","57","44.75",64,16,-1,-1,1251,1249,1253,335,335,"nicht einschätzbare Beschaffungsmarkt-  und -angebotspreisentwicklung,","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",82,"classic","UV3",1251,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- geopolitische Entwicklung/Ereignisse <br>- pandemische Entwicklung und Folgen (SiGe-Plan)","	- Mehrkosten <br>- Projektlaufzeit Umsetzungsprojekt durch fehlende Finanzierung nicht einhaltbar",180,228,221,277,"Grid44",3,3,4,3,FALSE,FALSE,NA,48,56,2688,208,104,204,249,3,4,"Grid43"
"3605",338,338,581521,72,4,4,"48.25","33.75","64.75","49",64,16,-1,-1,1253,1251,1255,336,336,"nicht einschätzbare Verzögerungen, Unterbrechungen und Ausfälle von Lieferketten und Leistungen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",83,"classic","UV4",1253,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- geopolitische Entwicklung/Ereignisse <br>- pandemische Entwicklung und Folgen (SiGe-Plan)","	- Mehrkosten <br>- Projektlaufzeit Umsetzungsprojekt",193,259,204,265,"Grid44",3,4,4,3,FALSE,TRUE,NA,66,61,4026,254,127,226,234.5,3,3,"Grid33"
"3607",338,338,581571,12,4,3,"57.75","45","69.75","57.5",48,12,-1,-1,1255,1253,1257,337,337,"Konkurs von Auftragsnehmern","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",84,"classic","UV5",1255,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","Bau- und Projektverzug",231,279,170,220,"Grid34",3,4,3,3,TRUE,TRUE,NA,48,50,2400,196,98,255,195,4,3,"Grid34"
"3609",338,338,581621,10,4,3,"57.75","79","80.5","89",48,12,-1,-1,1257,1255,1259,338,338,"fehlende Bieter im Vergabeverfahren (z. B. Planer und ausführende Gewerke)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",85,"classic","UV6",1257,562,"classic","11.10.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,1,"","Marktsituation","Bau- und Projektverzug",231,322,44,84,"Grid34",3,5,2,1,FALSE,TRUE,NA,91,40,3640,262,131,276.5,64,4,1,"Grid14"
"3611",338,338,581671,NA,NA,NA,"","","","",NA,NA,-1,-1,1259,1257,0,339,339,"Änderung/Reduktion der/des medizinischen Leistungsplanung/-spektrums/-angebotsplanung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",86,"classic","UV7",1259,562,"classic","06.09.2022",2,"06.09.2022","17.08.2022","20.09.2022",1,-1,"","	- keine umfassende Berücksichtigung des gesundheitspolitischen Bedarfs sowie der Nutzeranforderungen <br>- Reduktion der räumlichen Strukturen <br>- Neudefinition von Prozessen aufgrund eines veränderten diagnostischen Ablaufs <br>- betriebsorganisatorische und personalstrukturelle Veränderungen","	- keine Deckung der Nachfrage <br>- keine Erfüllung des Versorgungsauftrags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3613",324,324,599661,61,3,4,"18.25","79","64.75","94.5",48,12,-1,-1,1269,0,1271,344,344,"keine umfangreiche Information aller Betroffenen und Beteiligten (z. B. zur weiteren (Unternehmens- und Abteilungs-)Strategie bzgl. Fortbestand der Therapiestation und des Zyklotron, sowie den Funktionsräumen von Gebäude 161 (SPECT/PET); Schilddrüsenspezialambulanz)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",1,"classic","BB1",1269,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","	- keine umfassende, zeitgerechte Einbindung und Kommunikation und Information durch in der Projektorganisation und das KD <br>- keine ausreichenden Ressourcenverfügbarkeit für Projekttermine usw. <br>- Masterplan nicht kommuniziert","	- Projektänderungswünsche <br>- Projektverzögerungen <br>- Nutzerunzufriedenheit <br>- keine Identifikation mit dem Projekt <br>- Skepsis, Ängste bzw. keine Zustimmung der Beteiligten und Betroffenen",73,259,22,84,"Grid43",1,4,2,1,FALSE,TRUE,NA,186,62,11532,496,248,166,53,3,1,"Grid13"
"3615",324,324,599713,48,4,2,"28.75","49","53","76",32,8,-1,-1,1271,1269,1377,345,345,"Projektanforderungen ändern sich","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",2,"classic","BB2",1271,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","	- Wechsel der Nutzervertreter BO (z. B. durch Pensionierungen)  <br>- lange Projektlaufzeit","	- Kostensteigerungen <br>- zeitliche Verzögerungen <br>- Veränderung des technischen Standards zwischen Planung und Inbetriebnahme",115,212,96,204,"Grid24",2,3,3,2,FALSE,FALSE,NA,97,108,10476,410,205,163.5,150,3,2,"Grid23"
"3617",324,324,599765,36,5,2,"80.75","15","93","64",40,10,-1,-1,1377,1271,1273,346,346,"Nutzung der Erfahrung der Beteiligten aus den Fachbereichen, Fachbereichsmitarbeiter:innen zu Beteiligten machen und einbeziehen","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",3,"classic","BB3",1377,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","","Frühzeitige Erhebung und Berücksichtigung von Schnittstellenproblemen und -defiziten",323,372,144,340,"Grid25",5,5,5,2,FALSE,TRUE,NA,49,196,9604,490,245,347.5,242,5,4,"Grid45"
"3619",324,324,599817,26,4,3,"62.5","10","88","51.25",48,12,-1,-1,1273,1377,1275,347,347,"keine ausreichende Ressourcenverfügbarkeit bei den Betroffenen und Beteiligten (z. B. für Projektsitzungen im Rahmen der Planung, Umsetzung und Übersiedelung)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",4,"classic","BB4",1273,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","im Rahmen der Projektplanung werden Dienstpläne, Urlaubszeiten oder Zeiten intensiver zusätzlicher Tätigkeiten (z. B. Jahresabschluss) nicht berücksichtigt <br>(Fachbereiche, Hygiene)","	- Projektverzögerung <br>- verzögerte Inbetriebnahme",250,352,195,360,"Grid34",4,5,5,3,FALSE,TRUE,NA,102,165,16830,534,267,301,277.5,4,4,"Grid44"
"3621",324,324,599869,15,4,1,"62","13","83.25","52",16,4,-1,-1,1275,1273,1277,348,348,"Abhängigkeiten der Projektumsetzung von Einzelpersonen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",5,"classic","BB5",1275,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","","",248,333,192,348,"Grid14",4,5,5,3,FALSE,TRUE,NA,85,156,13260,482,241,290.5,270,4,4,"Grid44"
"3623",324,324,599921,12,4,1,"37.5","77","73","93",16,4,-1,-1,1277,1275,1279,349,349,"Veränderte bzw. nicht/besonders wahrgenommene Zuständigkeit","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",6,"classic","BB6",1277,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","","",150,292,28,92,"Grid14",2,4,2,1,FALSE,TRUE,NA,142,64,9088,412,206,221,60,3,1,"Grid13"
"3625",324,324,599973,16,4,1,"22.5","11.25","43","22.5",16,4,-1,-1,1279,1277,1281,350,350,"neue, überzogene (An-)Forderungen der Nutzer/Partner","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",7,"classic","BB7",1279,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",90,172,310,355,"Grid14",2,3,5,4,FALSE,FALSE,NA,82,45,3690,254,127,131,332.5,2,5,"Grid52"
"3627",324,324,600025,12,4,1,"17.25","12","32.75","36.5",16,4,-1,-1,1281,1279,1283,351,351,"Falsche oder nicht ausgesprochene Erwartungen durch Nutzer, Partner, Anrainer","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",8,"classic","BB8",1281,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",69,131,254,352,"Grid14",1,2,5,4,FALSE,FALSE,NA,62,98,6076,320,160,100,303,2,4,"Grid42"
"3629",324,324,600077,11,4,2,"25","58.75","42.5","77",32,8,-1,-1,1283,1281,1285,352,352,"Überlastung des Projektteams","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",9,"classic","BB9",1283,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","mehrere gleichzeitig laufende Projekte","Projektverzögerung",100,170,92,165,"Grid24",2,3,3,2,FALSE,FALSE,NA,70,73,5110,286,143,135,128.5,2,2,"Grid22"
"3631",324,324,600129,11,4,2,"57","58","75.75","74.25",32,8,-1,-1,1285,1283,1287,353,353,"mangelnde Unterstützung/Widerstand von Beteiligten und Betroffenen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",10,"classic","BB10",1285,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","","Projektverzögerung",228,303,103,168,"Grid24",3,4,3,2,FALSE,TRUE,NA,75,65,4875,280,140,265.5,135.5,4,2,"Grid24"
"3633",324,324,600181,15,4,2,"42.75","44.75","65.5","64",32,8,-1,-1,1287,1285,1289,354,354,"langwierige Entscheidungsfindung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",11,"classic","OR1",1287,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","	- unklare Entscheidungs- und Freigabeprozesse <br>- unklare Zuständigkeiten <br>- keine klare Festlegung, Darstellung und Kommunikation des Projektaufbau und -ablauforganisations sowie der Entscheidungsmatrix <br>- Wechsel von Schlüsselpersonen","	- Projektverzögerung",171,262,144,221,"Grid24",3,4,3,2,FALSE,TRUE,NA,91,77,7007,336,168,216.5,182.5,3,3,"Grid33"
"3635",324,324,600233,13,4,1,"66","80.5","85.25","96.75",16,4,-1,-1,1289,1287,1291,355,355,"unzureichende Kompetenz und Erfahrung des Projektleiter, Krankenhaushygienikers usw.","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",12,"classic","OR2",1289,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","	- Projektleiter bzw. Hygieniker ist zu kurz im Unternehmen, um die Struktur und Handlungsweisen des Unternehmens zu verstehen","	- Projektverzögerung",264,341,13,78,"Grid14",4,5,1,1,TRUE,TRUE,NA,77,65,5005,284,142,302.5,45.5,4,1,"Grid14"
"3637",324,324,600285,22,2,2,"47.25","84.25","72.75","98.5",16,4,-1,-1,1291,1289,1293,356,356,"keine Integration QMS und RMS","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",13,"classic","OR3",1291,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","","",189,291,6,63,"Grid22",3,4,1,1,FALSE,FALSE,NA,102,57,5814,318,159,240,34.5,4,1,"Grid14"
"3639",324,324,600337,18,4,1,"48.75","80.75","76","96.5",16,4,-1,-1,1293,1291,1295,357,357,"keine ausreichende Berücksichtigung/Koordination der vielen Beteiligten und/oder Schnittstellen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",14,"classic","OR4",1293,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","","",195,304,14,77,"Grid14",3,4,1,1,TRUE,TRUE,NA,109,63,6867,344,172,249.5,45.5,4,1,"Grid14"
"3641",324,324,600389,21,3,1,"34","84.75","59.25","97",12,3,-1,-1,1295,1293,1297,358,358,"fehlende selbständige interne Koordination der Fachabteilung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",15,"classic","OR5",1295,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","	- kein Verständnis der übermittelten Information <br>- keine interne Kommunikation und Information in der Abteilung","Wissensdefizit <br>ineffiziente Arbeitssitzungen",136,237,12,61,"Grid13",2,3,1,1,TRUE,TRUE,NA,101,49,4949,300,150,186.5,36.5,3,1,"Grid13"
"3643",324,324,600441,36,4,3,"33.5","34.75","73.5","66.75",48,12,-1,-1,1297,1295,1299,359,359,"Wechsel wesentlicher Schlüsselpersonen für die Umsetzung/Verantwortlicher im Projektteam (z. B. Projektleitung, Nutzer, Planer, Auftraggeber, Verantwortungsträger in einzelnen Bereichen z. B. Technik), Know-How-Träger stehen nicht zur Verfügung / Veränderung in den Entscheidungsstrukturen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",16,"classic","OR6",1297,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","	- keine rechtzeitige Nachfolgeregelung z. B. bei Pensionierungen <br>- fachliche Überforderung <br>- Neubesetzungen","	- mangelhafter Wissenstransfer <br>- Ressourcenlücken <br>- Verzögerungen bzw. Projekt kann nicht entsprechend denfinierten Projektzielen umgesetzt werden z. B. durch  Veränderungen in den Entscheidungsstrukturen",134,294,133,261,"Grid34",2,4,4,2,FALSE,TRUE,NA,160,128,20480,576,288,214,197,3,3,"Grid33"
"3645",324,324,600493,18,4,1,"64","77","87.5","96.5",16,4,-1,-1,1299,1297,1301,360,360,"es besteht kein effizientes Änderungsmanagement","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",17,"classic","PA1",1299,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","	- zu viele Entscheider","	- Verzögerung <br>- Mehrkosten",256,350,14,92,"Grid14",4,5,2,1,FALSE,TRUE,NA,94,78,7332,344,172,303,53,4,1,"Grid14"
"3647",324,324,600545,11,4,2,"60","84.25","93.25","97",32,8,-1,-1,1301,1299,1303,361,361,"verzögerte Freigabe von Planungsschritten und Genehmigungschritten (PA1)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",18,"classic","PA2",1301,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","	- fehlende Vorgaben Betriebsorganisation <br>- nicht geführte Diskussionen zu Fragen der Betriebsorganisation <br>- keine Klärung und Dokumentation der neuen Betriebsprozesse bzw. Patient:innenverantwortlichkeiten im neuen Behandlungsprozess","	- Verzögerung Gesamtprojektfortschritt <br>- fehlende Akzeptanz bei Nutzern",240,373,12,63,"Grid24",4,5,1,1,FALSE,TRUE,NA,133,51,6783,368,184,306.5,37.5,4,1,"Grid14"
"3649",324,324,600597,15,5,1,"82.25","82","99.25","98.75",20,5,-1,-1,1303,1301,1305,362,362,"Raumplanung nicht am Betriebsbedarf ausgerichtet","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",19,"classic","PF1",1303,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","zu wenig Räumlichkeiten (6 OP-Räume und 2 Eingriffsräume) bzw. Platz (z. B. Ambulanzzentrum) für 60.000 ambulante Patienten jährlich","	- Einschränkung der Betriebsabläufe (ineffektiv und ineffizient) <br>- Wartezeiten für Patient:innen <br>- reduzierte Patienten- und Mitarbeiter:innen-Zufriedenheit",329,397,5,72,"Grid15",5,5,1,1,TRUE,TRUE,NA,68,67,4556,270,135,363,38.5,5,1,"Grid15"
"3651",324,324,600649,18,5,1,"62","81.25","97.5","90",20,5,-1,-1,1305,1303,1379,363,363,"Betriebsunterbrechungen bzw. -ausfälle länger als 1 Arbeitswoche (Weiterbestand/Sanierung des restlichen Gebäudes 161 (inkl. den Räumlichkeiten für 3 SPECT/CT, 1 PET/CT) - Eingangsbereich 161","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",20,"classic","PF2",1305,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,1,"","	- Zwischenaussiedelung der Schilddrüsenambulanz zur Baufeldfeimachung <br>- zusätzliches Baufeld wird benötigt","	- Gefährdung der Patietnt:innen-Sicherheit (onkologisch) <br>- Nicht-Erfüllung des Versorgungsauftrages <br>- Mehrkosten  <br>- Mehrbedarf Personalressourcen <br>- länger Bauzeit <br>- keine Nachnutzung",248,390,40,75,"Grid15",4,5,1,1,TRUE,TRUE,NA,142,35,4970,354,177,319,57.5,5,1,"Grid15"
"3653",324,324,600701,10,NA,NA,"","","","",NA,NA,-1,-1,1379,1305,1307,364,364,"Etablierung einer zentralen Leitstelle für die Schilddrüsenambulanz und die Nuklearmedizin","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",21,"classic","PF3",1379,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,-1,"","","	- effektive und effiziente Prozessgestaltung <br>- Ressourcenschonung <br>- gesteigerte Patienten- und Mitarbeiter:innen-Zufriedenheit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3655",324,324,600753,8,NA,NA,"","","","",NA,NA,-1,-1,1307,1379,1381,365,365,"Schulungs- und Einführungsaufwand","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",22,"classic","PF4",1307,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,-1,"","	- neuartige Technologien <br>- Verfahren <br>- Prozesse <br>- Materialien","	- Personalmehraufwand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3657",324,324,600805,11,NA,NA,"","","","",NA,NA,-1,-1,1381,1307,1397,366,366,"Harmonisierung unterschiedlicher Standards und Umsetzungsgrade in prozessübergreifenden Managementsystemen (z. B.  Qualitäts- und Risikomanagement, ISMS, Compliance) und anderen Systemen","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",23,"classic","PF5",1381,532,"classic","04.09.2022",1,"04.09.2022","17.08.2022","18.09.2022",1,-1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
