"","ACC2SURV_ACCID","Quercheck","ANS2SURV_ID","ANS2SURV_DURATION","IMPACT","OCCURRENCE","X1PCT","Y1PCT","X2PCT","Y2PCT","PROZAHL","RPZ","GRAPHIO","GRAPHRPZ","QUES2SURV_ID","Q2SID_PREV","Q2SID_NEXT","QUES2SURV_QUESID","QUES_ID","QUES_TEXT","QUES_TYP","QUES2SURV_SURVID","SURV_NAME","QUES2SURV_SORT","QUES2SURV_METHOD","QUES2SURV_KBID","ANS2SURV_QUES2SURVID","ANS2SURV_ACC2SURVID","ANS2SURV_METHOD","MODIFIED","ACC2SURV_GROUPID","ACC2SURV_FIRSTSTEP_DATE","ACC2SURV_MAILFIRST","ACC2SURV_MAILSECOND","ACC2SURV_ROLE","ANS2SURV_ANSWERED","ANS2SURV_COMMENT","QUES_CAUSE","QUES_EFFECT","X1Pixel","X2Pixel","Y1Pixel","Y2Pixel","ClassicGrid","getlowx","gethighx","getlowy","gethighy","hitOcc","hitImp","QuestionGroup","uncertaintyIPixel","uncertaintyOPixel","uncertaintyIPercent","uncertaintyOPercent","uncertaintyAreaPixel","uncertaintyPerimeterPixel","uncertaintytotalPixel","middleX","middleY","middleIGRID","middleOGRID","middleGRID","scaled_IMPACT","scaled_OCCURRENCE","scaled_X1","scaled_X2","scaled_Y1","scaled_Y2","scaled_uncertainty_X","scaled_uncertainty_Y","scaled_uncertainty_XY","scaled_uncertainty_AREA","scaled_uncertainty_PERIMETER","scaled_uncertainty_middle_X","scaled_uncertainty_middle_Y"
"2423",345,345,326929,43,3,4,"44","67.75","68.75","87",48,12,-1,-1,1253,1251,1255,336,336,"nicht einschätzbare Verzögerungen, Unterbrechungen und Ausfälle von Lieferketten und Leistungen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",83,"classic","UV4",1253,549,"classic","22.08.2022",1,"22.08.2022","17.08.2022","05.09.2022",1,1,"","	- geopolitische Entwicklung/Ereignisse <br>- pandemische Entwicklung und Folgen (SiGe-Plan)","	- Mehrkosten <br>- Projektlaufzeit Umsetzungsprojekt",176,275,271,348,"Grid43",3,4,4,5,TRUE,TRUE,NA,99,77,24.75,19.25,7623,352,176,225.5,309.5,3,4,"Grid43",50,70,44,68.75,67.75,87,24.75,19.25,44,476.4375,88,56.375,77.375
"2425",345,345,326963,16,3,5,"36","77.5","59.75","98.75",60,15,-1,-1,1255,1253,1257,337,337,"Konkurs von Auftragsnehmern","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",84,"classic","UV5",1255,549,"classic","22.08.2022",1,"22.08.2022","17.08.2022","05.09.2022",1,1,"","","Bau- und Projektverzug",144,239,310,395,"Grid53",2,3,4,5,TRUE,TRUE,NA,95,85,23.75,21.25,8075,360,180,191.5,352.5,3,5,"Grid53",50,90,36,59.75,77.5,98.75,23.75,21.25,45,504.6875,90,47.875,88.125
"2427",345,345,326997,48,4,4,"44.25","62","66.5","81.75",64,16,-1,-1,1257,1255,1259,338,338,"fehlende Bieter im Vergabeverfahren (z. B. Planer und ausführende Gewerke)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",85,"classic","UV6",1257,549,"classic","22.08.2022",1,"22.08.2022","17.08.2022","05.09.2022",1,1,"","Marktsituation","Bau- und Projektverzug",177,266,248,327,"Grid44",3,4,4,5,TRUE,TRUE,NA,89,79,22.25,19.75,7031,336,168,221.5,287.5,3,4,"Grid43",70,70,44.25,66.5,62,81.75,22.25,19.75,42,439.4375,84,55.375,71.875
"2429",345,345,327031,203,2,4,"27.5","34.25","50.75","54.75",32,8,-1,-1,1259,1257,0,339,339,"Änderung/Reduktion der/des medizinischen Leistungsplanung/-spektrums/-angebotsplanung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",86,"classic","UV7",1259,549,"classic","22.08.2022",1,"22.08.2022","17.08.2022","05.09.2022",1,1,"","	- keine umfassende Berücksichtigung des gesundheitspolitischen Bedarfs sowie der Nutzeranforderungen <br>- Reduktion der räumlichen Strukturen <br>- Neudefinition von Prozessen aufgrund eines veränderten diagnostischen Ablaufs <br>- betriebsorganisatorische und personalstrukturelle Veränderungen","	- keine Deckung der Nachfrage <br>- keine Erfüllung des Versorgungsauftrags",110,203,137,219,"Grid42",2,3,2,3,FALSE,TRUE,NA,93,82,23.25,20.5,7626,350,175,156.5,178,2,3,"Grid32",30,70,27.5,50.75,34.25,54.75,23.25,20.5,43.75,476.625,87.5,39.125,44.5
"2433",358,358,348797,33,4,4,"2.5","82.25","14.5","98",64,16,-1,-1,1271,1269,1377,345,345,"Projektanforderungen ändern sich","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",2,"classic","BB2",1271,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- Wechsel der Nutzervertreter BO (z. B. durch Pensionierungen)  <br>- lange Projektlaufzeit","	- Kostensteigerungen <br>- zeitliche Verzögerungen <br>- Veränderung des technischen Standards zwischen Planung und Inbetriebnahme",10,58,329,392,"Grid44",1,1,5,5,FALSE,FALSE,NA,48,63,12,15.75,3024,222,111,34,360.5,1,5,"Grid51",70,70,2.5,14.5,82.25,98,12,15.75,27.75,189,55.5,8.5,90.125
"2435",358,358,348833,31,3,3,"73.25","43.5","88.25","60.75",36,9,-1,-1,1377,1271,1273,346,346,"Nutzung der Erfahrung der Beteiligten aus den Fachbereichen, Fachbereichsmitarbeiter:innen zu Beteiligten machen und einbeziehen","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",3,"classic","BB3",1377,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","Frühzeitige Erhebung und Berücksichtigung von Schnittstellenproblemen und -defiziten",293,353,174,243,"Grid33",4,5,3,4,TRUE,FALSE,NA,60,69,15,17.25,4140,258,129,323,208.5,5,3,"Grid35",50,50,73.25,88.25,43.5,60.75,15,17.25,32.25,258.75,64.5,80.75,52.125
"2437",358,358,348869,20,3,3,"34.25","44.75","56.75","63.25",36,9,-1,-1,1273,1377,1275,347,347,"keine ausreichende Ressourcenverfügbarkeit bei den Betroffenen und Beteiligten (z. B. für Projektsitzungen im Rahmen der Planung, Umsetzung und Übersiedelung)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",4,"classic","BB4",1273,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","im Rahmen der Projektplanung werden Dienstpläne, Urlaubszeiten oder Zeiten intensiver zusätzlicher Tätigkeiten (z. B. Jahresabschluss) nicht berücksichtigt <br>(Fachbereiche, Hygiene)","	- Projektverzögerung <br>- verzögerte Inbetriebnahme",137,227,179,253,"Grid33",2,3,3,4,TRUE,TRUE,NA,90,74,22.5,18.5,6660,328,164,182,216,3,3,"Grid33",50,50,34.25,56.75,44.75,63.25,22.5,18.5,41,416.25,82,45.5,54
"2439",358,358,348905,13,1,3,"81","81.5","91","95.25",12,3,-1,-1,1275,1273,1277,348,348,"Abhängigkeiten der Projektumsetzung von Einzelpersonen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",5,"classic","BB5",1275,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","",324,364,326,381,"Grid31",5,5,5,5,FALSE,FALSE,NA,40,55,10,13.75,2200,190,95,344,353.5,5,5,"Grid55",10,50,81,91,81.5,95.25,10,13.75,23.75,137.5,47.5,86,88.375
"2441",358,358,348941,17,3,3,"72","80","86.5","99.75",36,9,-1,-1,1277,1275,1279,349,349,"Veränderte bzw. nicht/besonders wahrgenommene Zuständigkeit","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",6,"classic","BB6",1277,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","",288,346,320,399,"Grid33",4,5,5,5,FALSE,FALSE,NA,58,79,14.5,19.75,4582,274,137,317,359.5,4,5,"Grid54",50,50,72,86.5,80,99.75,14.5,19.75,34.25,286.375,68.5,79.25,89.875
"2443",358,358,348977,2,3,3,"41.5","74.5","48.5","96.25",36,9,-1,-1,1279,1277,1281,350,350,"neue, überzogene (An-)Forderungen der Nutzer/Partner","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",7,"classic","BB7",1279,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",166,194,298,385,"Grid33",3,3,4,5,FALSE,TRUE,NA,28,87,7,21.75,2436,230,115,180,341.5,3,5,"Grid53",50,50,41.5,48.5,74.5,96.25,7,21.75,28.75,152.25,57.5,45,85.375
"2445",358,358,349013,23,2,2,"39.25","31.5","49.5","71",16,4,-1,-1,1281,1279,1283,351,351,"Falsche oder nicht ausgesprochene Erwartungen durch Nutzer, Partner, Anrainer","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",8,"classic","BB8",1281,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",157,198,126,284,"Grid22",2,3,2,4,TRUE,TRUE,NA,41,158,10.25,39.5,6478,398,199,177.5,205,3,3,"Grid33",30,30,39.25,49.5,31.5,71,10.25,39.5,49.75,404.875,99.5,44.375,51.25
"2447",358,358,349049,15,2,4,"36.5","30.5","61.25","64.5",32,8,-1,-1,1283,1281,1285,352,352,"Überlastung des Projektteams","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",9,"classic","BB9",1283,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","mehrere gleichzeitig laufende Projekte","Projektverzögerung",146,245,122,258,"Grid42",2,4,2,4,TRUE,TRUE,NA,99,136,24.75,34,13464,470,235,195.5,190,3,3,"Grid33",30,70,36.5,61.25,30.5,64.5,24.75,34,58.75,841.5,117.5,48.875,47.5
"2449",358,358,349085,17,3,1,"43.5","38.75","58.75","67.5",12,3,-1,-1,1285,1283,1287,353,353,"mangelnde Unterstützung/Widerstand von Beteiligten und Betroffenen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",10,"classic","BB10",1285,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","Projektverzögerung",174,235,155,270,"Grid13",3,3,2,4,FALSE,TRUE,NA,61,115,15.25,28.75,7015,352,176,204.5,212.5,3,3,"Grid33",50,10,43.5,58.75,38.75,67.5,15.25,28.75,44,438.4375,88,51.125,53.125
"2451",358,358,349121,18,1,4,"31.25","35","55.75","66.25",16,4,-1,-1,1287,1285,1289,354,354,"langwierige Entscheidungsfindung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",11,"classic","OR1",1287,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- unklare Entscheidungs- und Freigabeprozesse <br>- unklare Zuständigkeiten <br>- keine klare Festlegung, Darstellung und Kommunikation des Projektaufbau und -ablauforganisations sowie der Entscheidungsmatrix <br>- Wechsel von Schlüsselpersonen","	- Projektverzögerung",125,223,140,265,"Grid41",2,3,2,4,TRUE,FALSE,NA,98,125,24.5,31.25,12250,446,223,174,202.5,3,3,"Grid33",10,70,31.25,55.75,35,66.25,24.5,31.25,55.75,765.625,111.5,43.5,50.625
"2453",358,358,349157,12,3,2,"32.75","35.75","62","65.5",24,6,-1,-1,1289,1287,1291,355,355,"unzureichende Kompetenz und Erfahrung des Projektleiter, Krankenhaushygienikers usw.","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",12,"classic","OR2",1289,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- Projektleiter bzw. Hygieniker ist zu kurz im Unternehmen, um die Struktur und Handlungsweisen des Unternehmens zu verstehen","	- Projektverzögerung",131,248,143,262,"Grid23",2,4,2,4,TRUE,TRUE,NA,117,119,29.25,29.75,13923,472,236,189.5,202.5,3,3,"Grid33",50,30,32.75,62,35.75,65.5,29.25,29.75,59,870.1875,118,47.375,50.625
"2455",358,358,349193,8,2,2,"37.25","33.25","64.75","69",16,4,-1,-1,1291,1289,1293,356,356,"keine Integration QMS und RMS","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",13,"classic","OR3",1291,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","",149,259,133,276,"Grid22",2,4,2,4,TRUE,TRUE,NA,110,143,27.5,35.75,15730,506,253,204,204.5,3,3,"Grid33",30,30,37.25,64.75,33.25,69,27.5,35.75,63.25,983.125,126.5,51,51.125
"2457",358,358,349229,7,2,2,"43.75","9.5","49.5","79",16,4,-1,-1,1293,1291,1295,357,357,"keine ausreichende Berücksichtigung/Koordination der vielen Beteiligten und/oder Schnittstellen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",14,"classic","OR4",1293,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","",175,198,38,316,"Grid22",3,3,1,4,TRUE,FALSE,NA,23,278,5.75,69.5,6394,602,301,186.5,177,3,3,"Grid33",30,30,43.75,49.5,9.5,79,5.75,69.5,75.25,399.625,150.5,46.625,44.25
"2459",358,358,349265,17,2,3,"46","8.5","53.75","96.75",24,6,-1,-1,1295,1293,1297,358,358,"fehlende selbständige interne Koordination der Fachabteilung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",15,"classic","OR5",1295,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- kein Verständnis der übermittelten Information <br>- keine interne Kommunikation und Information in der Abteilung","Wissensdefizit <br>ineffiziente Arbeitssitzungen",184,215,34,387,"Grid32",3,3,1,5,TRUE,FALSE,NA,31,353,7.75,88.25,10943,768,384,199.5,210.5,3,3,"Grid33",30,50,46,53.75,8.5,96.75,7.75,88.25,96,683.9375,192,49.875,52.625
"2461",358,358,349301,19,2,2,"41.25","41","48.25","69.5",16,4,-1,-1,1297,1295,1299,359,359,"Wechsel wesentlicher Schlüsselpersonen für die Umsetzung/Verantwortlicher im Projektteam (z. B. Projektleitung, Nutzer, Planer, Auftraggeber, Verantwortungsträger in einzelnen Bereichen z. B. Technik), Know-How-Träger stehen nicht zur Verfügung / Veränderung in den Entscheidungsstrukturen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",16,"classic","OR6",1297,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- keine rechtzeitige Nachfolgeregelung z. B. bei Pensionierungen <br>- fachliche Überforderung <br>- Neubesetzungen","	- mangelhafter Wissenstransfer <br>- Ressourcenlücken <br>- Verzögerungen bzw. Projekt kann nicht entsprechend denfinierten Projektzielen umgesetzt werden z. B. durch  Veränderungen in den Entscheidungsstrukturen",165,193,164,278,"Grid22",3,3,3,4,FALSE,FALSE,NA,28,114,7,28.5,3192,284,142,179,221,3,3,"Grid33",30,30,41.25,48.25,41,69.5,7,28.5,35.5,199.5,71,44.75,55.25
"2463",358,358,349337,8,4,4,"68","77","95","96.5",64,16,-1,-1,1299,1297,1301,360,360,"es besteht kein effizientes Änderungsmanagement","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",17,"classic","PA1",1299,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- zu viele Entscheider","	- Verzögerung <br>- Mehrkosten",272,380,308,386,"Grid44",4,5,4,5,TRUE,TRUE,NA,108,78,27,19.5,8424,372,186,326,347,5,5,"Grid55",70,70,68,95,77,96.5,27,19.5,46.5,526.5,93,81.5,86.75
"2465",358,358,349373,17,3,2,"75.75","78","88.25","96.75",24,6,-1,-1,1301,1299,1303,361,361,"verzögerte Freigabe von Planungsschritten und Genehmigungschritten (PA1)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",18,"classic","PA2",1301,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- fehlende Vorgaben Betriebsorganisation <br>- nicht geführte Diskussionen zu Fragen der Betriebsorganisation <br>- keine Klärung und Dokumentation der neuen Betriebsprozesse bzw. Patient:innenverantwortlichkeiten im neuen Behandlungsprozess","	- Verzögerung Gesamtprojektfortschritt <br>- fehlende Akzeptanz bei Nutzern",303,353,312,387,"Grid23",4,5,4,5,FALSE,FALSE,NA,50,75,12.5,18.75,3750,250,125,328,349.5,5,5,"Grid55",50,30,75.75,88.25,78,96.75,12.5,18.75,31.25,234.375,62.5,82,87.375
"2467",358,358,349409,19,4,4,"80.5","82","90","95.75",64,16,-1,-1,1303,1301,1305,362,362,"Raumplanung nicht am Betriebsbedarf ausgerichtet","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",19,"classic","PF1",1303,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","zu wenig Räumlichkeiten (6 OP-Räume und 2 Eingriffsräume) bzw. Platz (z. B. Ambulanzzentrum) für 60.000 ambulante Patienten jährlich","	- Einschränkung der Betriebsabläufe (ineffektiv und ineffizient) <br>- Wartezeiten für Patient:innen <br>- reduzierte Patienten- und Mitarbeiter:innen-Zufriedenheit",322,360,328,383,"Grid44",5,5,5,5,FALSE,FALSE,NA,38,55,9.5,13.75,2090,186,93,341,355.5,5,5,"Grid55",70,70,80.5,90,82,95.75,9.5,13.75,23.25,130.625,46.5,85.25,88.875
"2473",358,358,349517,19,5,4,"37.5","31","41.75","57",80,20,-1,-1,1307,1379,1381,365,365,"Schulungs- und Einführungsaufwand","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",22,"classic","PF4",1307,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- neuartige Technologien <br>- Verfahren <br>- Prozesse <br>- Materialien","	- Personalmehraufwand",150,167,124,228,"Grid45",2,3,2,3,FALSE,FALSE,NA,17,104,4.25,26,1768,242,121,158.5,176,2,3,"Grid32",90,70,37.5,41.75,31,57,4.25,26,30.25,110.5,60.5,39.625,44
"2479",358,358,349625,13,1,1,"9.25","2.5","15.25","27",4,1,-1,-1,1331,1397,1309,298,298,"Gefährdung bestehender Zertifizierungen (ISO, Onko-Zentrum, UEMS, EMAS)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",25,"classic","PF7",1331,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","",37,61,10,108,"Grid11",1,1,1,2,TRUE,TRUE,NA,24,98,6,24.5,2352,244,122,49,59,1,1,"Grid11",10,10,9.25,15.25,2.5,27,6,24.5,30.5,147,61,12.25,14.75
"2481",358,358,349661,18,3,5,"77.75","71.5","93.75","93.5",60,15,-1,-1,1309,1331,1311,281,281,"zusätzlicher Betrieb leer stehender Gebäude","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",26,"classic","PF8",1309,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- kein Abriss","	- Mehrkosten",311,375,286,374,"Grid53",4,5,4,5,TRUE,FALSE,NA,64,88,16,22,5632,304,152,343,330,5,5,"Grid55",50,90,77.75,93.75,71.5,93.5,16,22,38,352,76,85.75,82.5
"2483",358,358,349697,9,1,1,"39.75","44.25","51.75","65.25",4,1,-1,-1,1311,1309,1313,282,282,"keine Berücksichtigung der Veränderung der medizinischen Standards von der Planung bis zur Fertigstellung (ca. 6 Jahre)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",27,"classic","PF9",1311,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","medizinische Weiterentwicklung und Innovationen in der Zukunft können nicht berücksichtigt werden","",159,207,177,261,"Grid11",2,3,3,4,FALSE,FALSE,NA,48,84,12,21,4032,264,132,183,219,3,3,"Grid33",10,10,39.75,51.75,44.25,65.25,12,21,33,252,66,45.75,54.75
"2485",358,358,349733,10,1,5,"34.75","38.75","51.25","73.25",20,5,-1,-1,1313,1311,1315,283,283,"keine ausreichende Berücksichtigung von Kapazitäten, Zeit, Kosten in der Planung der Übersiedelung während der Bauphase","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",28,"classic","PF10",1313,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","	- Projektkosten können nicht eingehalten werden / werden wesentlich überschritten <br>- verzögerte Inbetriebnahme",139,205,155,293,"Grid51",2,3,2,4,FALSE,FALSE,NA,66,138,16.5,34.5,9108,408,204,172,224,3,3,"Grid33",10,90,34.75,51.25,38.75,73.25,16.5,34.5,51,569.25,102,43,56
"2487",358,358,349769,16,5,5,"2.5","0","30.5","24",100,25,-1,-1,1315,1313,1317,284,284,"keine ausreichende Berücksichtigung der Schnittstellen zwischen Projekt und laufendem Betrieb (technisch)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",29,"classic","PF11",1315,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- keine ausreichenden technischen Gegebenheiten und Kapazitäten (Energie, Wasser, Klima, Gas, HT usw.)","	- Schnittstellenprobleme <br>- Mehrkosten",10,122,0,96,"Grid55",1,2,1,2,FALSE,FALSE,NA,112,96,28,24,10752,416,208,66,48,1,1,"Grid11",90,90,2.5,30.5,0,24,28,24,52,672,104,16.5,12
"2489",358,358,349805,13,3,4,"4.25","6.25","37.25","31.75",48,12,-1,-1,1317,1315,1319,285,285,"negative Auswirkung und Beeinflussung des angrenzenden (laufenden) Betriebs","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",30,"classic","PF12",1317,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- Nähe zum Baufeld (Erschütterungen, Lärm, Staub) <br>- keine adäquate Baufeldabgrenzung","	- Einschränkgung im Bereich (z. B. Nukl.Med., Notfallaufnahmen, Zufahrt) <br>- klinische Abläufe <br>- Patient:innen- und Mitarbeiter:innensicherheit und -zufriedenheit <br>- Gerätesicherheit <br>- Hygiene <br>- Logistik <br>- Brandschutz uvm.",17,149,25,127,"Grid43",1,2,1,2,FALSE,FALSE,NA,132,102,33,25.5,13464,468,234,83,76,2,1,"Grid12",50,70,4.25,37.25,6.25,31.75,33,25.5,58.5,841.5,117,20.75,19
"2497",358,358,349949,18,3,3,"1.75","8.5","29","23.25",36,9,-1,-1,1321,1385,1387,289,289,"keine Kompatibilität der Projektziele mit dem Versorgungsauftrag  (z. B. Betriebsziele, politische Ziele, Umsetzung ÖSG-RSG usw.)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",34,"classic","PU1",1321,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- Vorgaben des RSG NEU (2025) sehen wesentliche Änderungen zu dem im Projektumfang definierten Struktur- und Leistungsspektrum (Basis RSG 2020) vor (RSG 2030 könnte die Projektgrundlagen nochmals verändern ==> Stichwort: Auslagerung in die extramurale Versorgung) <br>- Unkenntnis über die Möglichkeit der Einsetzbarkeit des Faches PMR <br>- Projektnutzen ist zu wenig klar bestimmt => und vom Nutzer daher nicht erkennbar <br>","	- Nicht-Erfüllung des gesetzlich definierten Versorgungsauftrags <br>- keine Projektumsetzung",7,116,34,93,"Grid33",1,2,1,2,FALSE,FALSE,NA,109,59,27.25,14.75,6431,336,168,61.5,63.5,1,1,"Grid11",50,50,1.75,29,8.5,23.25,27.25,14.75,42,401.9375,84,15.375,15.875
"2499",358,358,349985,41,3,3,"13.75","29.5","29.5","53.5",36,9,-1,-1,1387,1321,1389,290,290,"Einhaltung sicherheits- und gesundheitspolitischer Auflagen und Einschränkungen (ÖSG-RSG)","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",35,"classic","PU2",1387,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","",55,118,118,214,"Grid33",1,2,2,3,TRUE,FALSE,NA,63,96,15.75,24,6048,318,159,86.5,166,2,3,"Grid32",50,50,13.75,29.5,29.5,53.5,15.75,24,39.75,378,79.5,21.625,41.5
"2501",358,358,350021,16,5,5,"81.75","1","98.75","23",100,25,-1,-1,1389,1387,1391,291,291,"Verbesserung der Positionierung am Arbeitsmarkt","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",36,"classic","PU3",1389,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","z. B. moderne Strukturen und Arbeitsabläufe","	- gesteigertes Interesse bei DGKP, PA, RT, BMA",327,395,4,92,"Grid55",5,5,1,2,FALSE,TRUE,NA,68,88,17,22,5984,312,156,361,48,5,1,"Grid15",90,90,81.75,98.75,1,23,17,22,39,374,78,90.25,12
"2503",358,358,350057,6,4,5,"72.75","0.5","99.25","9.75",80,20,-1,-1,1391,1389,1393,292,292,"Verbesserung der interdisziplinären Zusammenarbeit","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",37,"classic","PU4",1391,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","räumliche und organisatorische Zusammenführung","Verbesserung der Versorgungsqualität",291,397,2,39,"Grid54",4,5,1,1,FALSE,TRUE,NA,106,37,26.5,9.25,3922,286,143,344,20.5,5,1,"Grid15",70,90,72.75,99.25,0.5,9.75,26.5,9.25,35.75,245.125,71.5,86,5.125
"2505",358,358,350093,20,5,4,"68.25","74.5","97","93.5",80,20,-1,-1,1393,1391,1395,293,293,"Integration der Pädaudiometrie in die HNO bzw. Kopfzentrum","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",38,"classic","PU5",1393,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","","	- Verbesserung der intramuralen Versorgung für Kinder;  <br>- zeitökonomisches Arbeiten möglich (dzt. Lange Wartezeiten für den Pat./weite Wege im Klinikum, direkte Kommunikation zw. Arzt und Logopädie derzeit nur eingeschränkt gegeben)",273,388,298,374,"Grid45",4,5,4,5,TRUE,TRUE,NA,115,76,28.75,19,8740,382,191,330.5,336,5,5,"Grid55",90,70,68.25,97,74.5,93.5,28.75,19,47.75,546.25,95.5,82.625,84
"2513",358,358,350237,12,5,1,"76.25","71.25","97.5","95.75",20,5,-1,-1,1327,1325,1329,320,320,"keine Genehmigung ausreichender finanzieller Mittel","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",42,"classic","PU9",1327,559,"classic","27.09.2022",2,"07.09.2022","17.08.2022","21.09.2022",1,1,"","	- gedeckeltes Landesbudget <br>- Projektunschärfe im Budget nicht abdeckbar <br>- im Laufe des Projekts entstehende Mehrkosten (siehe auch diverse angeführte Risiken)","	- keine bzw. nur eingeschränkte Umsetzung des Projekts <br>- Mehrkosten",305,390,285,383,"Grid15",4,5,4,5,FALSE,TRUE,NA,85,98,21.25,24.5,8330,366,183,347.5,334,5,5,"Grid55",90,10,76.25,97.5,71.25,95.75,21.25,24.5,45.75,520.625,91.5,86.875,83.5
