"","ACC2SURV_ACCID","Quercheck","ANS2SURV_ID","ANS2SURV_DURATION","IMPACT","OCCURRENCE","X1PCT","Y1PCT","X2PCT","Y2PCT","PROZAHL","RPZ","GRAPHIO","GRAPHRPZ","QUES2SURV_ID","Q2SID_PREV","Q2SID_NEXT","QUES2SURV_QUESID","QUES_ID","QUES_TEXT","QUES_TYP","QUES2SURV_SURVID","SURV_NAME","QUES2SURV_SORT","QUES2SURV_METHOD","QUES2SURV_KBID","ANS2SURV_QUES2SURVID","ANS2SURV_ACC2SURVID","ANS2SURV_METHOD","MODIFIED","ACC2SURV_GROUPID","ACC2SURV_FIRSTSTEP_DATE","ACC2SURV_MAILFIRST","ACC2SURV_MAILSECOND","ACC2SURV_ROLE","ANS2SURV_ANSWERED","ANS2SURV_COMMENT","QUES_CAUSE","QUES_EFFECT","X1Pixel","X2Pixel","Y1Pixel","Y2Pixel","ClassicGrid","getlowx","gethighx","getlowy","gethighy","hitOcc","hitImp","QuestionGroup","uncertaintyIPixel","uncertaintyIPercent","uncertaintyOPixel","uncertaintyOPercent","uncertaintyAreaPixel","uncertaintyAreaPercent","uncertaintyPerimeterPixel","uncertaintyPerimeterPercent","uncertaintytotalPixel","uncertaintytotalPercent"
"1589",341,341,188041,23,5,5,"93.25","2","99.5","7",100,25,-1,-1,1379,1305,1307,364,364,"Etablierung einer zentralen Leitstelle für die Schilddrüsenambulanz und die Nuklearmedizin","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",21,"classic","PF3",1379,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","	- effektive und effiziente Prozessgestaltung <br>- Ressourcenschonung <br>- gesteigerte Patienten- und Mitarbeiter:innen-Zufriedenheit",373,398,8,28,NA,5,5,5,5,TRUE,TRUE,NA,25,6.25,20,5,500,8e+05,90,1440,45,360
"1591",341,341,188061,16,2,4,"49.25","49.75","53.75","54.25",32,8,-1,-1,1307,1379,1381,365,365,"Schulungs- und Einführungsaufwand","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",22,"classic","PF4",1307,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- neuartige Technologien <br>- Verfahren <br>- Prozesse <br>- Materialien","	- Personalmehraufwand",197,215,199,217,NA,3,3,3,3,FALSE,FALSE,NA,18,4.5,18,4.5,324,518400,72,1152,36,288
"1593",341,341,188081,15,4,4,"83.75","7.25","90.25","12.5",64,16,-1,-1,1381,1307,1397,366,366,"Harmonisierung unterschiedlicher Standards und Umsetzungsgrade in prozessübergreifenden Managementsystemen (z. B.  Qualitäts- und Risikomanagement, ISMS, Compliance) und anderen Systemen","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",23,"classic","PF5",1381,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","",335,361,29,50,NA,5,5,5,5,FALSE,FALSE,NA,26,6.5,21,5.25,546,873600,94,1504,47,376
"1595",341,341,188101,12,4,4,"81","8.75","88.75","13.5",64,16,-1,-1,1397,1381,1331,297,297,"Baufeldfreimachung für zukünftige Projekte","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",24,"classic","PF6",1397,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","HNO, 1. Med.","",324,355,35,54,NA,5,5,5,5,FALSE,FALSE,NA,31,7.75,19,4.75,589,942400,100,1600,50,400
"1597",341,341,188121,19,2,3,"74","75.25","77.5","79.75",24,6,-1,-1,1331,1397,1309,298,298,"Gefährdung bestehender Zertifizierungen (ISO, Onko-Zentrum, UEMS, EMAS)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",25,"classic","PF7",1331,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","",296,310,301,319,NA,4,4,1,2,FALSE,TRUE,NA,14,3.5,18,4.5,252,403200,64,1024,32,256
"1599",341,341,188141,30,2,2,"12.25","46","16.75","50",16,4,-1,-1,1309,1331,1311,281,281,"zusätzlicher Betrieb leer stehender Gebäude","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",26,"classic","PF8",1309,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- kein Abriss","	- Mehrkosten",49,67,184,200,NA,1,1,3,3,FALSE,FALSE,NA,18,4.5,16,4,288,460800,68,1088,34,272
"1601",341,341,188161,20,2,4,"54.25","6","60","11",32,8,-1,-1,1311,1309,1313,282,282,"keine Berücksichtigung der Veränderung der medizinischen Standards von der Planung bis zur Fertigstellung (ca. 6 Jahre)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",27,"classic","PF9",1311,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","medizinische Weiterentwicklung und Innovationen in der Zukunft können nicht berücksichtigt werden","",217,240,24,44,NA,3,4,5,5,TRUE,FALSE,NA,23,5.75,20,5,460,736000,86,1376,43,344
"1603",341,341,188181,16,3,4,"31","9.5","38.25","11.75",48,12,-1,-1,1313,1311,1315,283,283,"keine ausreichende Berücksichtigung von Kapazitäten, Zeit, Kosten in der Planung der Übersiedelung während der Bauphase","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",28,"classic","PF10",1313,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","	- Projektkosten können nicht eingehalten werden / werden wesentlich überschritten <br>- verzögerte Inbetriebnahme",124,153,38,47,NA,2,2,5,5,FALSE,FALSE,NA,29,7.25,9,2.25,261,417600,76,1216,38,304
"1605",341,341,188201,21,3,5,"66","22.5","71.5","25.75",60,15,-1,-1,1315,1313,1317,284,284,"keine ausreichende Berücksichtigung der Schnittstellen zwischen Projekt und laufendem Betrieb (technisch)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",29,"classic","PF11",1315,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- keine ausreichenden technischen Gegebenheiten und Kapazitäten (Energie, Wasser, Klima, Gas, HT usw.)","	- Schnittstellenprobleme <br>- Mehrkosten",264,286,90,103,NA,4,4,4,4,FALSE,FALSE,NA,22,5.5,13,3.25,286,457600,70,1120,35,280
"1607",341,341,188221,33,3,4,"81.75","12.75","87","17",48,12,-1,-1,1317,1315,1319,285,285,"negative Auswirkung und Beeinflussung des angrenzenden (laufenden) Betriebs","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",30,"classic","PF12",1317,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Nähe zum Baufeld (Erschütterungen, Lärm, Staub) <br>- keine adäquate Baufeldabgrenzung","	- Einschränkgung im Bereich (z. B. Nukl.Med., Notfallaufnahmen, Zufahrt) <br>- klinische Abläufe <br>- Patient:innen- und Mitarbeiter:innensicherheit und -zufriedenheit <br>- Gerätesicherheit <br>- Hygiene <br>- Logistik <br>- Brandschutz uvm.",327,348,51,68,NA,5,5,5,5,FALSE,FALSE,NA,21,5.25,17,4.25,357,571200,76,1216,38,304
"1609",341,341,188241,83,2,3,"9.5","15.75","14.25","22",24,6,-1,-1,1319,1317,1383,286,286,"Neu-Bewilligungen werden notwendig","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",31,"classic","PF13",1319,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Abrisse","hohe Anforderungen mach Schließungen von Gebäuden notwendig",38,57,63,88,NA,1,1,4,5,FALSE,FALSE,NA,19,4.75,25,6.25,475,760000,88,1408,44,352
"1611",341,341,188261,26,4,4,"74.25","8.5","82.75","12.75",64,16,-1,-1,1383,1319,1385,287,287,"Adaptierung/Modernisierung der räumlichen Strukturen an die Anforderungen des Versorgungsauftrags sowie an die Anforderungen der betroffenen Primär- und Sekundärversorgungsbereiche","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",32,"classic","PF14",1383,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- demographische Entwicklung <br>Allgemein: <br>- infrastrukturelle Veränderung <br>- personalstrukturelle Veränderung <br>- abrechnungstechnische Veränderung <br>- beschaffungsspezifische Veränderung <br>- besserer Patient:innenkomfort im stationären (Betten-)Bereich <br>- bessere Anbindung an das CMZ (kürzere Patiet:innenwege <br>- bessere Umsetzung von Schallschutzmaßnahmen (Audiometrie) <br>","	- Berücksichtigung zukünftiger Versorungsbedarfe  <br>- Erhöhung der Versorgungsqualität (Reduktion der Wartezeiten) <br>- Stärkung des medizinischen Standards der Fachbereiche <br>- Effektivere und effizientere Gestaltung der Arbeitsabläufe bzw. des klinischen Alltags (z. B. Einführung einer zentralen Leitstelle / elektronische Unterstützung, Einführung neuer Berufsgruppen z. B. MOA, OA) <br>- kürzere Wege <br>- Verbesserung der Patienten- und Mitarbeiter:innen-Zufriedenheit ==> Imageverbesserung <br>- fachübergreifende Vernetzung der Fächer des Kopfzentrums <br>- Beibehaltung bzw. Erhöhung der Felxibilität des med. Personals => Schonung der Personalressource <br>- kein Bedarf des Transports radioaktiver Tracer <br>- Verbesserung der interdisziplinären Zusammenarbeit der Fachbereiche <br>- Nutzung von Synergien durch die Zusammenführung einzelner bisher autarker Fachbereiche <br>- Verschiebung von Marktanteilen",297,331,34,51,NA,4,5,5,5,TRUE,FALSE,NA,34,8.5,17,4.25,578,924800,102,1632,51,408
"1613",341,341,188281,21,2,3,"79","5.5","83.75","12.75",24,6,-1,-1,1385,1383,1321,288,288,"nachhaltige Interimslösung der Räumlichkeiten zur Nachnutzung als Ausweichstation","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",33,"classic","PF15",1385,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","",316,335,22,51,NA,4,5,5,5,FALSE,FALSE,NA,19,4.75,29,7.25,551,881600,96,1536,48,384
"1615",341,341,188301,28,3,5,"92.25","75","97.5","82",60,15,-1,-1,1321,1385,1387,289,289,"keine Kompatibilität der Projektziele mit dem Versorgungsauftrag  (z. B. Betriebsziele, politische Ziele, Umsetzung ÖSG-RSG usw.)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",34,"classic","PU1",1321,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Vorgaben des RSG NEU (2025) sehen wesentliche Änderungen zu dem im Projektumfang definierten Struktur- und Leistungsspektrum (Basis RSG 2020) vor (RSG 2030 könnte die Projektgrundlagen nochmals verändern ==> Stichwort: Auslagerung in die extramurale Versorgung) <br>- Unkenntnis über die Möglichkeit der Einsetzbarkeit des Faches PMR <br>- Projektnutzen ist zu wenig klar bestimmt => und vom Nutzer daher nicht erkennbar <br>","	- Nicht-Erfüllung des gesetzlich definierten Versorgungsauftrags <br>- keine Projektumsetzung",369,390,300,328,NA,5,5,1,2,TRUE,FALSE,NA,21,5.25,28,7,588,940800,98,1568,49,392
"1617",341,341,188321,11,4,4,"84.25","4","93","8.25",64,16,-1,-1,1387,1321,1389,290,290,"Einhaltung sicherheits- und gesundheitspolitischer Auflagen und Einschränkungen (ÖSG-RSG)","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",35,"classic","PU2",1387,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","",337,372,16,33,NA,5,5,5,5,FALSE,FALSE,NA,35,8.75,17,4.25,595,952000,104,1664,52,416
"1619",341,341,188341,50,2,3,"52.25","2","59.75","7.5",24,6,-1,-1,1389,1387,1391,291,291,"Verbesserung der Positionierung am Arbeitsmarkt","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",36,"classic","PU3",1389,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","z. B. moderne Strukturen und Arbeitsabläufe","	- gesteigertes Interesse bei DGKP, PA, RT, BMA",209,239,8,30,NA,3,4,5,5,TRUE,FALSE,NA,30,7.5,22,5.5,660,1056000,104,1664,52,416
"1621",341,341,188361,7,3,4,"90.5","0.5","99.25","4.75",48,12,-1,-1,1391,1389,1393,292,292,"Verbesserung der interdisziplinären Zusammenarbeit","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",37,"classic","PU4",1391,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","räumliche und organisatorische Zusammenführung","Verbesserung der Versorgungsqualität",362,397,2,19,NA,5,5,5,5,FALSE,FALSE,NA,35,8.75,17,4.25,595,952000,104,1664,52,416
"1623",341,341,188381,13,3,4,"66.5","0","69.75","6",48,12,-1,-1,1393,1391,1395,293,293,"Integration der Pädaudiometrie in die HNO bzw. Kopfzentrum","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",38,"classic","PU5",1393,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","	- Verbesserung der intramuralen Versorgung für Kinder;  <br>- zeitökonomisches Arbeiten möglich (dzt. Lange Wartezeiten für den Pat./weite Wege im Klinikum, direkte Kommunikation zw. Arzt und Logopädie derzeit nur eingeschränkt gegeben)",266,279,0,24,NA,4,4,5,5,TRUE,FALSE,NA,13,3.25,24,6,312,499200,74,1184,37,296
"1625",341,341,188401,15,3,4,"43.75","46.5","48.5","50.75",48,12,-1,-1,1395,1393,1323,294,294,"Neubau","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",39,"classic","PU6",1395,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","sprunghafte Strukturqualitätssteigerung, Minimierung der Betriebsausfälle",175,194,186,203,NA,3,3,3,3,FALSE,TRUE,NA,19,4.75,17,4.25,323,516800,72,1152,36,288
"1627",341,341,188421,17,3,5,"77.5","11.5","83.25","16.5",60,15,-1,-1,1323,1395,1325,295,295,"Projektfortschritt bzw. -laufzeiten können nicht eingehalten werden","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",40,"classic","PU7",1323,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Abwicklung der behördlichen Verfahren nicht terminkonform <br>- keine Berücksichtigung ausreichender Vorlaufzeiten für Behördenverfahren (eingeschränkte Personalkapazitäten)/notwendige Gutachten in der Projektterminplanung  <br>- zweistufige Genehmigungsverfahren für Tätigkeiten mit offenen radioaktiven Stoffen (lt. Strahlenschutzgesetz) <br>- sonstige behördliche Aktivitäten <br>- politische Einflussfaktoren => neue Priorisierung von Projekten <br>- Divergierende Ziele unterschiedlicher Vorhabenspartner (z. B. Nutzer, Anrainer, Bauherr) <br>- Unkenntnis des gesamten Projektkontext => keine Kenntnis und systematische Steuerung aller Chancen und Risiken/Stärken und Schwächen für die Projektplanung und -umsetzung  <br>- etwaige Auflagen aus diversen notwendigen Gutachten bzw. von Behörden müssen umgesetzt werden","	- zusätzliche Kosten   <br>- Verzögerung der Inbetriebnahme <br>- Versorgungsengpässe bei Betriebsausfällen in den Altstrukturen <br>- zeitliche Verzögerung <br>- Verlängerung Risiko HNO (TOP Unternehmensrisiko)",310,333,46,66,NA,4,5,5,5,TRUE,FALSE,NA,23,5.75,20,5,460,736000,86,1376,43,344
"1629",341,341,188441,10,4,5,"94.75","33.75","99.5","38.5",80,20,-1,-1,1325,1323,1327,296,296,"keine Synchronisierung mit dem Masterplan 2030","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",41,"classic","PU8",1325,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Masterplan ist nicht fertig gestellt (Genehmigung durch AR notwendig?) <br>- Projektpriorisierung  ist nicht eindeutig ==> keine ausreichende Abstimmung der Planungen des Projekts Kopfzentrum mit anderen leistungsbedingten Einflussbereichen wie z. B.  onkologisches Zentrum, ELKI (akute und ambulante Behandlung von Kindern)","'- Standortstrategie nicht einhaltbar <br>- Terminkollisionen",379,398,135,154,NA,5,5,4,4,TRUE,TRUE,NA,19,4.75,19,4.75,361,577600,76,1216,38,304
"1631",341,341,188461,16,3,5,"48","47","58.25","51.5",60,15,-1,-1,1327,1325,1329,320,320,"keine Genehmigung ausreichender finanzieller Mittel","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",42,"classic","PU9",1327,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- gedeckeltes Landesbudget <br>- Projektunschärfe im Budget nicht abdeckbar <br>- im Laufe des Projekts entstehende Mehrkosten (siehe auch diverse angeführte Risiken)","	- keine bzw. nur eingeschränkte Umsetzung des Projekts <br>- Mehrkosten",192,233,188,206,NA,3,3,3,3,FALSE,TRUE,NA,41,10.25,18,4.5,738,1180800,118,1888,59,472
"1633",341,341,188481,24,4,5,"87.5","13.5","95","18.5",80,20,-1,-1,1329,1327,1333,321,321,"Terminkollisionen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",43,"classic","PU10",1329,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- mehrere gleichzeitig laufende Projekte (AUVA CHO) <br>- gleiches Baufeld mit etwaigen Projekt AUVA CHO","	- Projektverzögerung <br>- gleichzeitiger Zugriff auf Firmen <br>- Einschränkung der Zufahrtbereiche",350,380,54,74,NA,5,5,5,5,TRUE,FALSE,NA,30,7.5,20,5,600,960000,100,1600,50,400
"1635",341,341,188501,10,3,5,"58.75","46.25","65","51.5",60,15,-1,-1,1333,1329,1335,299,299,"keine Identifikation der Schlüsselpositionen mit dem Projekt und den damit in Verbindung stehenden Zielen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",44,"classic","PV1",1333,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Projektnutzen ist zu wenig klar bestimmt => und vom Nutzer daher nicht erkennbar <br>- RSG Vorgaben nicht bekannt","Projektverzögerung",235,260,185,206,NA,3,4,3,3,FALSE,TRUE,NA,25,6.25,21,5.25,525,840000,92,1472,46,368
"1637",341,341,188521,12,3,5,"94.5","26.25","99","31",60,15,-1,-1,1335,1333,1337,300,300,"Planungsfehler (z. B. Vorhabensbudget, Investitionsprogramm, Betriebsbudget, Folgekosten usw.)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",45,"classic","PV2",1335,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- BO und Raum- und Funktionsplan nicht detailliert <br>- keine eindeutige Projektabgrenzung zu anderen Projekten bzw. Instandhaltung","	- Mehrkosten <br>- Verzögerung <br>",378,396,105,124,NA,5,5,4,4,TRUE,FALSE,NA,18,4.5,19,4.75,342,547200,74,1184,37,296
"1639",341,341,188541,21,4,5,"86.75","76.25","92.75","80.75",80,20,-1,-1,1337,1335,1339,301,301,"keine Kompatibilität der Projektziele mit den Abteilungszielen/Nutzer","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",46,"classic","PV3",1337,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Auffassungsunterschiede/Interessen zw. Projektbeteiligten KM und Klinikum aufgrund unterschiedlicher Prioritäten <br>- keine Akzeptanz der Projektvorgaben durch die Nutzer","Behinderung der Projektabwicklung",347,371,305,323,NA,5,5,1,2,TRUE,FALSE,NA,24,6,18,4.5,432,691200,84,1344,42,336
"1641",341,341,188561,9,3,4,"48.25","62.5","52.5","67.75",48,12,-1,-1,1339,1337,1341,302,302,"keine ausreichend klare Formulierung der Projektziele","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",47,"classic","PV4",1339,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","	- Gefährdung den Projekterfolgs",193,210,250,271,NA,3,3,2,2,FALSE,FALSE,NA,17,4.25,21,5.25,357,571200,76,1216,38,304
"1643",341,341,188581,26,NA,NA,"","","","",NA,NA,-1,-1,1341,1339,1343,303,303,"keine ausreichende Berücksichtigung der Nutzeranforderungen in der Planung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",48,"classic","PV5",1341,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,-1,"","	- mangelhafte (Architekten-)Planung (unzureichendes Raumangebot)  <br> <br>- siehe beispielhaft nachfolgende Punkte: <br> Nuklearmedizin: Übersiedelung bzw. Neubau folgender Strukturen: <br>- Aufnahme Nuklearmedizin <br>- Aufnahme Schilddrüse/Spezialambulanzen <br>HNO <br>- Berücksichtigung der hohen Frequenzen (Haupteingang) <br>- Lenken der Patient:innenströme im ambulanten Bereich <br> Physikalische Medizin: <br>- Therapiebecken für Wasseranwendungen <br>- Raum Medizinische Trainingstherapie <br> Hygiene <br>- ausreichender Lagerräume und -flächen => Just in Time-Lieferungen z. B. von patientenbezogenen OP-Tassen  <br>- ausreichend Bettenlagerflächen (erhöhtes Patient:innenaufkommen in der Holdingarea OP-Bereich) <br> Technik <br>- hohe Zwischendecken (zukünftige Nachrüstungen) / Zwischendeckenelemente <br>- Aufzüge (inkl. Schachtentlüftung) redundant ausführen","	- keine Anpassung der Räumlichkeiten an die Untersuchungsanforderungen (z. B. Pädaudiometrie muss vollständig verdunkelt werden können, Waschbecken in allen Räumlichkeiten) <br>- keine korrekte Durchführung von Messungen <br>- Gefährdung des Untersuchungserfolgs  <br>- Gefährdung der Patient:innensicherheit <br>- Fülle an Anforderungen können nicht zeitnah erfüllt werden <br>- Ressourcenmehrbedarf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1645",341,341,188601,9,3,5,"79.75","12.75","84.5","17",60,15,-1,-1,1343,1341,1345,304,304,"Baufeld in zentralem Krankenhausumfeld","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",49,"classic","PV6",1343,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","(Not-)Anlieferung von Patient:innen, Logistiktransporte, Besucher","chaotische Verkehrssituation",319,338,51,68,NA,5,5,5,5,TRUE,FALSE,NA,19,4.75,17,4.25,323,516800,72,1152,36,288
"1647",341,341,188621,9,4,5,"68.75","74.5","74.5","77.5",80,20,-1,-1,1345,1343,1347,305,305,"keine Berücksichtigung etwaiger gesetzlicher Vorgaben des Strahlenschutz im Rahmen von Bautätigkeiten","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",50,"classic","RA1",1345,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- Gefahrenstoffe","	- möglicherweise Abstände und Absperrungen notwendig",275,298,298,310,NA,4,4,2,2,FALSE,FALSE,NA,23,5.75,12,3,276,441600,70,1120,35,280
"1649",341,341,188641,11,4,5,"37.75","67","44.75","72",80,20,-1,-1,1347,1345,1349,306,306,"negative Stellungnahme durch den L-RH oder sonstiger Behörden","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",51,"classic","RA2",1347,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","keine Vorabklärung mit Behörden (z. B. L-RH, Sanitätsbewilligungsbehörde usw.)","	- keine Realisierungsgenehmigung <br>- zeitliche Verzögerung <br>- Mehrkosten <br>- Verlängerung Risiko HNO",151,179,268,288,NA,2,3,2,2,FALSE,FALSE,NA,28,7,20,5,560,896000,96,1536,48,384
"1651",341,341,188661,11,3,5,"42","67","45.25","69.25",60,15,-1,-1,1349,1347,1351,307,307,"Verzögerungen in diversen Vergabeverfahren (Einsprüche) vor allem bei Schlüsselgewerken","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",52,"classic","RA3",1349,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","	- unklare Ausschreibungsunterlagen <br>- Vorgaben im Bezug auf den Beschaffungsprozess /Ausschreibung und Vergaben werden nicht eingehalten <br>- Willkür der Einsprucherhebenden","	- zeitliche Verzögerungen <br>- Mehrkosten",168,181,268,277,NA,3,3,2,2,FALSE,FALSE,NA,13,3.25,9,2.25,117,187200,44,704,22,176
"1653",341,341,188681,10,4,5,"62","31.75","71.25","36.25",80,20,-1,-1,1351,1349,1399,308,308,"keine ausreichende Zugangsregelung der Nuklearmedizin zum Zeitpunkt des Abbruch des Nordtraktes von Gebäude 161 und entsprechende Information aller Beteiligten darüber","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",53,"classic","SI1",1351,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","",248,285,127,145,NA,4,4,4,4,FALSE,TRUE,NA,37,9.25,18,4.5,666,1065600,110,1760,55,440
"1655",341,341,188701,9,4,4,"72","14.25","77.5","17.5",64,16,-1,-1,1399,1351,1353,309,309,"Steigerung der Sicherheit von Patient:innen, Mitarbeiter:innen und Dritter","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",54,"classic","SI2",1399,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","",288,310,57,70,NA,4,4,5,5,TRUE,FALSE,NA,22,5.5,13,3.25,286,457600,70,1120,35,280
"1657",341,341,188721,13,2,3,"37","67.75","42","72.75",24,6,-1,-1,1353,1399,1355,310,310,"keine ausreichende Baugrubenabsicherung zum angrenzenden Betrieb","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",55,"classic","SI3",1353,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","","",148,168,271,291,NA,2,3,2,2,TRUE,TRUE,NA,20,5,20,5,400,640000,80,1280,40,320
"1659",341,341,188741,11,3,4,"93.5","60.75","98.25","65.5",48,12,-1,-1,1355,1353,1357,311,311,"Ausfall kritischer Infrastruktur","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",56,"classic","SI4",1355,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","Anschluss- und Baumaßnahmen (Kälte, Wärme, Abwasser, Wasser usw.)","Versorgungsauftrag kann nicht erfüllt werden",374,393,243,262,NA,5,5,2,2,FALSE,FALSE,NA,19,4.75,19,4.75,361,577600,76,1216,38,304
"1661",341,341,188761,9,4,5,"33.25","6.75","38.75","10.75",80,20,-1,-1,1357,1355,1359,312,312,"Kollektorgang nicht nutzbar","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",57,"classic","SI5",1357,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","Bautätigkeiten","Einschränkungen in der Versorgung ( Logistik)",133,155,27,43,NA,2,2,5,5,FALSE,FALSE,NA,22,5.5,16,4,352,563200,76,1216,38,304
"1663",341,341,188781,11,4,5,"57.5","3.5","65.25","7",80,20,-1,-1,1359,1357,1361,313,313,"Beeinträchtigung des Zugangs/Zufahrt der Notaufnahme","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",58,"classic","SI6",1359,528,"classic","06.09.2022",1,"06.09.2022","17.08.2022","20.09.2022",1,1,"","Intensive Verschränkung des Baustellenverkehrs mit dem laufenden Betrieb im hochfrequentierten Bereich der Notfallaufnahme","Beeinflussung der (Rettungs-)Notfahrten",230,261,14,28,NA,3,4,5,5,FALSE,FALSE,NA,31,7.75,14,3.5,434,694400,90,1440,45,360
